HostSpecies	TaxonID
Chicken	DQ441256.1.1313
Chicken	AY169416.1.1303
Chicken	HQ800862.1.1308
Chicken	FJ503238.1.1390
Chicken	FJ382054.1.1201
Chicken	DQ342328.1.1502
Chicken	GQ175458.1.1439
Chicken	FJ975910.1.1372
Chicken	EU774765.1.1436
Chicken	KX881777.1.1230
Chicken	KY658480.1.1210
Chicken	JQ855544.1.1247
Chicken	HQ717226.1.1310
Chicken	Y18355.1.1409
Chicken	EF071237.1.1250
Chicken	GQ175468.1.1444
Chicken	AJ876519.1.1235
Chicken	KT873246.1.1201
Chicken	EU766290.1.1374
Chicken	EF025214.1.1451
Chicken	JQ248113.1.1510
Chicken	DQ806077.1.1402
Chicken	61ae007cd63dc30c60001aaa869e2ffc
Chicken	DQ794370.1.1390
Turkey	FJ382054.1.1201
Turkey	DQ456472.1.1372
Turkey	KX881777.1.1230
Turkey	KY658480.1.1210
Turkey	KT873246.1.1201
Turkey	EF025214.1.1451
Turkey	DQ806077.1.1402
Turkey	f13a69ad40cf466ff5bfb0c0609aafc6
Turkey	DQ793705.1.1389
Turkey	EU776524.1.1264
Turkey	cf42d6ef5b5f01ff0a0a2bf5b533682e
Turkey	DQ326634.1.1352
Turkey	DQ799171.1.1319
Turkey	DQ793739.1.1403
Turkey	HQ452859.1.1430
Turkey	MH924252.1.1200
Turkey	DQ057398.1.1389
Turkey	DQ793581.1.1384
Turkey	DQ455825.1.1446
Turkey	HQ806146.1.1448
Turkey	DQ794058.1.1402
Turkey	DQ794427.1.1242
Turkey	FJ367509.1.1357
Turkey	GQ175397.1.1443
Turkey	EU763235.1.1354
Turkey	fbb2ccdf9eee6835b98ab9fad97f117a
Turkey	6a4f354262a6fbad12de693585b4e7f1
Turkey	EU451487.1.1331
Turkey	1978fc46fbfd9b795e153be14136a976
Turkey	KP966092.1.1345
Turkey	6a90057b6e7a186c4d4e8974cd089f3f
Turkey	EF025267.1.1453
WhooperSwan	KT873246.1.1201
WhooperSwan	7d3638a814df8118a71376d31f66bb19
WhooperSwan	4c70e0645fdca9420418aec1bd7f0627
WhooperSwan	JQ207409.1.1329
WhooperSwan	EU774989.1.1390
WhooperSwan	GU179520.1.1380
WhooperSwan	AF129443.1.1436
WhooperSwan	KP337928.1.1234
WhooperSwan	KT026457.1.1220
WhooperSwan	KX225278.1.1221
WhooperSwan	APON01000042.130541.131744
WhooperSwan	HM355725.1.1231
WhooperSwan	AY860235.1.1422
WhooperSwan	c40986076d659ca56d66bdbbe8fc06f2
WhooperSwan	HQ810027.1.1241
WhooperSwan	LWUD01000045.4.1337
WhooperSwan	AY995250.1.1365
WhooperSwan	AF092548.1.1483
WhooperSwan	AB058250.1.1257
WhooperSwan	KX014141.1.1442
WhooperSwan	MF498280.1.1204
WhooperSwan	MH718771.1.1217
WhooperSwan	JQ855614.1.1252
WhooperSwan	JQ014317.1.1286
WhooperSwan	GFIM01005958.9.1236
WhooperSwan	LN680489.1.1289
WhooperSwan	KT380570.1.1379
WhooperSwan	KU053645.1.1448
WhooperSwan	JF145649.1.1306
WhooperSwan	569e41cdb450ced9aaf87abc387fc8f6
WhooperSwan	KJ569212.1.1385
Duck	a13d2ac851c652f379103eb69ff1bc14
Duck	c465f577ff4ace3e12a8479197bd7198
Duck	63d393fc0e99dd18542fb1d4b2af0cbf
Duck	da821e0a5e2bb6359d37fc6ddafd82c1
Duck	5a64a6f1f4e7afd3bbbf171c5c35b46f
Duck	f8bb29a5251534049b2e1c111bc39f14
Duck	9265d5145416b3be7b9362ccc8e3dece
Duck	af35970d0e82e7e56bc4c9a97b1aa275
Duck	cafeeea8a015957c63e8db16e70ed374
Duck	bf0a5e99cb2470e070686ca4a5cd102d
Duck	8ad1796f811039f7bae012f206c4d408
Duck	6718eb07f4a1ded94863a63d5e19474e
Duck	0daf4b3d162fbc5fc14a1ca8f4d2c33b
Duck	d27439ff64e05809b9e00cfa519cdcac
