SampleID	SRR5364033	SRR5364035	SRR5364037	SRR5364039	SRR5364041	SRR5364043	SRR12148748_merged	SRR12148807_merged	SRR12148808_merged	SRR12148809_merged	SRR12148810_merged	SRR12148811_merged	SRR12148812_merged	SRR12148813_merged	SRR12148814_merged	SRR12148815_merged	SRR12148817_merged	SRR12148818_merged	SRR12148819_merged	SRR12148820_merged	SRR12148821_merged	SRR12148822_merged	SRR12148823_merged	SRR12148824_merged	SRR12148825_merged	SRR12148826_merged	SRR12148828_merged	SRR12148829_merged	SRR12148830_merged	SRR12148831_merged	SRR12148832_merged	SRR12148833_merged	SRR12148834_merged	SRR12148835_merged	SRR12148836_merged	SRR12148837_merged	SRR12148839_merged	SRR12148840_merged	SRR12148841_merged	SRR12148845_merged	SRR12148846_merged	SRR12148847_merged	SRR12148848_merged	SRR12148849_merged	SRR12148850_merged	SRR12148851_merged	SRR12148852_merged	SRR12148853_merged	SRR12148854_merged	SRR12148855_merged	SRR12148856_merged	SRR4409218	SRR4409219	SRR4409220	SRR4409221	SRR4409222	SRR4409223	SRR4409224	SRR4409225	SRR4409226	SRR4409227	SRR4409228	SRR4409229	SRR4409230	SRR4409231	SRR4409232	SRR7146574	SRR7146575	SRR7146576	SRR7146577	SRR7146578	SRR7146580	SRR7146581	SRR7146582	SRR7146583	SRR7146584	SRR7146585	SRR7146587	SRR7146588	SRR7146589	SRR7146590	SRR7146591	SRR7146592	SRR7146593	SRR7146595	SRR7146596	SRR7146598	SRR7146599	SRR7146601	SRR7146602	SRR7146603	SRR7146604	SRR7146605	SRR7146606	SRR7146607	SRR7146608	SRR7146610	SRR7146611	SRR7146612	SRR7146613	SRR7146614	SRR7146615	SRR7146616	SRR7146617	SRR7146618	SRR7146619	SRR7146620	SRR7146622	SRR7146623	SRR7146624	SRR7146625	SRR7146626	SRR7146627	SRR7146628	SRR7146629	SRR7146630	SRR7146631	SRR7146632	SRR7146633	SRR7146635	SRR7146636	SRR7146637	SRR7146638	SRR7146639	SRR7146640	SRR7146641	SRR7146642	SRR7146643	SRR7146644	SRR7146645	SRR7146646	SRR7146648	SRR7146649	SRR7146650	SRR7146651	SRR7146653	SRR7146654	SRR7146655	SRR7146656	SRR7146657	SRR7146658	SRR7146659	SRR7146660	SRR7146661	SRR7146662	SRR7146663	SRR7146665	SRR7146666	SRR7146667	SRR7146668	SRR7146671	SRR7146672	SRR7146674	SRR7146675	SRR7146676	SRR7146677	SRR7146678	SRR7146679	SRR7146680	SRR7146683	SRR7146684	SRR7146685	SRR7146686	SRR7146687	SRR7146688	SRR7146690	SRR7146691	SRR7146692	SRR7146693	SRR7146694	SRR7146696	SRR7146697	SRR7146698	SRR7146699	SRR7146700	SRR7146701	SRR7146702	SRR7146703	SRR7146704	SRR7146705	SRR7146707	SRR7146710	SRR7146711	SRR7146713	SRR7146714	SRR7146716	SRR7146717	SRR7146718	SRR7146719	SRR7146720	SRR7146721	SRR7146723	SRR7146724	SRR7146725	SRR7146726	SRR7146727	SRR7146728	SRR7146729	SRR7146730	SRR7146731	SRR7146732	SRR7146733	SRR7146734	SRR7146735	SRR7146736	SRR7146738	SRR7146739	SRR7146740	SRR7146741	SRR7146743	SRR7146744	SRR7146745	SRR7146746	SRR7146747	SRR7146748	SRR7146749	SRR7146750	SRR7146751	SRR7146753	SRR7146754	SRR7146755	SRR7146756	SRR7146757	SRR7146758	SRR7146759	SRR7146761	SRR7146762	SRR7146763	SRR7146764	SRR7146765	SRR7146766	SRR7146767	SRR7146769	SRR7146770	SRR7146772	SRR7146773	SRR7146774	SRR7146775	SRR7146776	SRR7146777	SRR7146778	SRR7146780	SRR7146781	SRR7146782	SRR7146783	SRR7146784	SRR7146785	SRR7146786	SRR7146787	SRR7146788	SRR7146789	SRR7146790	SRR7146792	SRR7146794	SRR7146797	SRR7146798	SRR7146800	SRR7146802	SRR7146803	SRR7146804	SRR7146806	SRR7146807	SRR7146809	SRR7146810	SRR7146811	SRR7146814	SRR7146815	SRR7146816	SRR7146817	SRR7146819	SRR7146820	SRR7146821	SRR7146822	SRR7146823	SRR7146826	SRR7146827	SRR7146828	SRR7146829	SRR7146831	SRR7146832	SRR7146833	SRR7146834	SRR7146835	SRR7146836	SRR7146837	SRR7146838	SRR7146839	SRR7146840	SRR7146841	SRR7146843	SRR7146844	SRR7146846	SRR7146848	SRR7146849	SRR7146850	SRR7146851	SRR7146852	SRR7146853	SRR7146854	SRR7146855	SRR7146856	SRR7146857	SRR7146858	SRR7146859	SRR7146860	SRR7146861	SRR7146862	SRR7146863	SRR7146865	SRR7146866	SRR7146868	SRR7146869	SRR7146871	SRR7146872	SRR7146874	SRR7146875	SRR7146877	SRR7146878	SRR7146880	SRR7146881	SRR7146882	SRR7146883	SRR7146884	SRR7146886	SRR7146887	SRR7146888
SRR5364033	0	0.240103738557448	0.502124461833942	0.939161789288179	0.918800207307593	0.879512728459828	0.984815961264718	0.759155169584591	0.596072931276297	0.838490549776504	0.5652	0.760385718676365	0.749769496568663	0.87000070505472	0.965952785292371	0.844872461185633	0.548524150268336	0.551771961144433	0.978478257993677	0.691107637622859	0.960782360535046	0.560259179265659	0.412404613867819	0.559623849539816	0.876973519915586	0.905199617023872	0.565124575126964	0.468008735329895	0.797810951723716	0.943507820506833	0.604738114480854	0.415859030837004	0.716297118349351	0.517365770888409	0.485698678414097	0.901049669557074	0.655720111611934	0.717438126360196	0.823091513442845	0.902094890550275	0.828377127563437	0.988225257034283	0.703104522543014	0.977564188136876	0.974062916704483	0.811150768677515	0.959451425339929	0.95672217546862	0.983272546389804	0.918839361004185	0.989509784143635	0.9988	0.995383380168607	0.977741804937273	0.991549295774648	0.914125700062228	0.889962978198272	0.979364758243982	0.95957361222848	0.994779116465863	0.797421731123389	0.996780684104628	0.995782285599518	0.998598598598599	0.949909837707874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR5364035	0.240103738557448	0	0.505413960283899	0.936184758607594	0.902233532361933	0.837858945247962	0.985697018533441	0.766141277662278	0.596072931276297	0.845476657854191	0.57336169512446	0.765000143524875	0.750490058807057	0.876986813132408	0.972938893370059	0.845739700374532	0.57416169512446	0.573918740799873	0.978550984640267	0.690965977652275	0.961663417803769	0.57416169512446	0.570065101765253	0.57416169512446	0.884767958615406	0.906080674292595	0.572919013826784	0.573755025746664	0.798692008992438	0.944388877775555	0.605178643115215	0.57416169512446	0.717178175618073	0.573133100185147	0.573133100185147	0.901122396203665	0.65593474994634	0.717510853006786	0.823164240089436	0.902975947818997	0.829258184832159	0.989106314303006	0.70547361245056	0.985298307539959	0.981416826769941	0.818945207377335	0.967245864039749	0.96451661416844	0.991066985089623	0.926633799704004	0.994066021892368	0.9988	0.995383380168607	0.977741804937272	0.991549295774648	0.914125700062228	0.889962978198272	0.979364758243981	0.959573612228479	0.994779116465863	0.797421731123388	0.996780684104628	0.995782285599518	0.998598598598599	0.949909837707874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR5364037	0.502124461833942	0.505413960283899	0	0.684952443781953	0.558971549833816	0.476667521044363	0.941544272734515	0.717180483251523	0.624196324859626	0.808279583725694	0.623997406807131	0.727275639817572	0.710358622289132	0.842544978811178	0.92541076371575	0.805423654993657	0.629978936106673	0.630312509351969	0.938858347812967	0.68419734611164	0.921347372422894	0.636926219322227	0.594584987101829	0.636958024700966	0.847151266436695	0.892105565730615	0.595421393841167	0.596025465939627	0.770812113425027	0.943375911811211	0.636551553176525	0.603725647057603	0.703164357138811	0.635940032414911	0.635940032414911	0.900311075823685	0.641321775563443	0.677818216179486	0.782365897822065	0.850312867318885	0.786041186280957	0.962457564552722	0.678576790326555	0.940386441399407	0.931644543019107	0.805825918698111	0.95024352692935	0.914339144031868	0.978788663362764	0.876456329567433	0.982388982853839	0.9988	0.995383380168607	0.977741804937273	0.991549295774648	0.914125700062228	0.889962978198272	0.979364758243981	0.95957361222848	0.994779116465863	0.797421731123389	0.996780684104628	0.995782285599518	0.998598598598599	0.949909837707874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR5364039	0.939161789288179	0.936184758607594	0.684952443781953	0	0.725400114679426	0.620580734871176	0.976666298357024	0.941511911145878	0.94502090586197	0.981266252733203	0.949833889232036	0.982196518091845	0.982631228491911	0.981173659122754	0.967958373935354	0.981470043236566	0.984179326593895	0.984755854163778	0.981470043236566	0.983744872694197	0.982044898656481	0.991126609809449	0.981186380681541	0.991158415188188	0.981470043236566	0.96821695308211	0.981470043236566	0.980860039169872	0.934527486102532	0.989087914350422	0.990554962245389	0.981470043236566	0.981632489717427	0.989087914350422	0.9897291332098	0.988666151381211	0.948155760878312	0.981470043236566	0.980364337796495	0.934527486102532	0.978569090066238	0.976426670228698	0.962235909354834	0.974174869274725	0.949540617606493	0.95310269629779	0.963371836574967	0.934527486102532	0.944569934792094	0.93469400770251	0.949627949220617	0.9988	0.995383380168607	0.991558575252213	0.991558575252213	0.991558575252213	0.991558575252213	0.991558575252213	0.991558575252213	0.994779116465863	0.991558575252213	0.996780684104628	0.995782285599518	0.998598598598599	0.991558575252213	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR5364041	0.918800207307593	0.902233532361933	0.558971549833816	0.725400114679426	0	0.474363002968909	0.927213870904999	0.884584178498986	0.948080459634645	0.930830692255258	0.94788154158215	0.930683051087315	0.933131042662239	0.954323420597313	0.916900930935597	0.934045836467094	0.987752597183467	0.988086170428763	0.935648630374797	0.98733338654322	0.934279918864097	0.99469988039902	0.93075502048078	0.99473168577776	0.932048681541582	0.980272724423283	0.932048681541582	0.933263245419607	0.936891506639654	0.993320286775408	0.99452967803769	0.96170091507237	0.981319634300497	0.993306288032455	0.993317647058823	0.992884525063243	0.944603413228426	0.933265720081136	0.932160014641065	0.887398549112772	0.931793387575245	0.968700151935448	0.96445055532106	0.944951202354853	0.907107267192357	0.963721902554125	0.968254835944918	0.885598377281947	0.944490252219399	0.885598377281947	0.9478889647725	0.9988	0.995383380168607	0.995131845841785	0.995131845841785	0.995131845841785	0.995131845841785	0.995131845841785	0.995131845841785	0.995131845841785	0.995131845841785	0.996780684104628	0.995782285599518	0.998598598598599	0.995131845841785	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR5364043	0.879512728459828	0.837858945247962	0.476667521044363	0.620580734871176	0.474363002968909	0	0.739563357519618	0.701511914555333	0.955101671105692	0.804685342358554	0.954902753053198	0.902625305079116	0.799398324818229	0.957866461379819	0.72982045069265	0.923006273078751	0.991378772455323	0.991712345700619	0.937581423277966	0.989903795787439	0.80430740084826	0.998326055670876	0.859327146289742	0.998357861049615	0.74435934589112	0.980363332619252	0.914716344234638	0.929580285382404	0.938912643635273	0.995653073897744	0.997754408106816	0.963654491597878	0.983656542544659	0.995239080935624	0.995888056303043	0.994817317966413	0.953487593029013	0.743945352929	0.74283964748893	0.811953696583326	0.880857569350041	0.96998538497107	0.966151411396365	0.948515026759697	0.718192579553406	0.96542275862943	0.969955692020223	0.871060986200161	0.951193874830482	0.701478355938695	0.953266149327186	0.9988	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	0.998758021113641	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR12148748_merged	0.984815961264718	0.985697018533441	0.941544272734515	0.976666298357024	0.927213870904999	0.739563357519618	0	0.602751270465402	0.974043407060993	0.577076286125808	0.976459307010475	0.839292440454997	0.778427867427895	0.845951789457897	0.204583777470628	0.726620619773228	0.970602109787969	0.967481513153207	0.717190760462316	0.919306113925282	0.620094657710521	0.976064989740386	0.652802636941998	0.954276231040361	0.322385662542206	0.705543772274565	0.691553052148021	0.699224247850075	0.607328744890866	0.755849115028485	0.878244921038866	0.883606513626145	0.829578764203716	0.80777471160867	0.890837550362611	0.760516545785072	0.943323243083188	0.4168619581526	0.395480542613585	0.491555259835758	0.602235223321967	0.729195415789326	0.700784442296572	0.590755120368336	0.133831415031332	0.761004949925176	0.757413275226203	0.555004656794663	0.755884728650374	0.324331447308661	0.800693823448945	0.9988	0.995383380168607	0.988315874294923	0.991549295774648	0.988315874294923	0.988315874294924	0.988315874294923	0.988315874294924	0.994779116465863	0.988315874294924	0.996780684104628	0.995782285599518	0.998598598598599	0.988315874294924	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR12148807_merged	0.759155169584591	0.766141277662278	0.717180483251523	0.941511911145878	0.884584178498986	0.701511914555333	0.602751270465402	0	0.394635893796991	0.579755515627929	0.584132378223496	0.30567207525377	0.246658586613966	0.458550667529492	0.570470848412213	0.717632910509428	0.440900870192201	0.43668290074933	0.856115140928894	0.396286022349829	0.716527092785911	0.446765725790647	0.564760277315462	0.428984201130309	0.485319974635981	0.82250511337401	0.602142012354428	0.64508502963404	0.539425803893873	0.887559842436491	0.464352375332477	0.669608546407692	0.387292764371227	0.50620881072248	0.512526265520535	0.839643765380551	0.485046196442661	0.336496810315103	0.424244603587174	0.635815509223838	0.648647330145412	0.899719873625693	0.424677834546206	0.870709643393502	0.570000393547635	0.719938210241117	0.856774410564637	0.74482981818256	0.863954602974288	0.455990833624006	0.886728347070383	0.9988	0.995383380168607	0.977741804937272	0.991549295774648	0.914125700062228	0.889962978198272	0.979364758243981	0.959573612228479	0.994779116465863	0.797421731123388	0.996780684104628	0.995782285599518	0.998598598598599	0.949909837707874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR12148808_merged	0.596072931276297	0.596072931276297	0.624196324859626	0.94502090586197	0.948080459634645	0.955101671105692	0.974043407060993	0.394635893796991	0	0.844362362952316	0.251289561210178	0.411691684567104	0.395132296661013	0.526119213754883	0.956290762126436	0.838790581473619	0.242166266005106	0.242065650143047	0.965762075439495	0.337356223563337	0.953010415499035	0.241309605670336	0.57396971296933	0.242501488674011	0.872003260361144	0.866757876399072	0.569278933798175	0.586575681692683	0.601307532385189	0.940179700937182	0.329025606187484	0.575457917507467	0.360523452017553	0.38997699330052	0.372032899218593	0.895644762850651	0.240518402108556	0.660029827216484	0.797733133262163	0.824142527074621	0.815607961716087	0.975426819313699	0.428794381458827	0.97615196691868	0.942980645669336	0.782850273349171	0.927564703231445	0.726634088638097	0.771773588769452	0.734361962005372	0.771978587077073	0.9988	0.995383380168607	0.977741804937272	0.991549295774648	0.914125700062228	0.889962978198272	0.979364758243981	0.959573612228479	0.994779116465863	0.797421731123388	0.996780684104628	0.995782285599518	0.998598598598599	0.949909837707874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR12148809_merged	0.838490549776504	0.845476657854191	0.808279583725694	0.981266252733203	0.930830692255258	0.804685342358554	0.577076286125808	0.579755515627929	0.844362362952316	0	0.843572284491543	0.694657726740632	0.649002216927943	0.662305606268291	0.531203698918691	0.342715710721289	0.834043212700778	0.830275782617918	0.449411424875048	0.770405572596472	0.375004408398641	0.839622111665752	0.600906661225223	0.816559719465532	0.333910077657287	0.454048022498013	0.38307038441721	0.450750241602385	0.540205184092212	0.429460214439464	0.717041099333185	0.743673022643829	0.67503371751231	0.612588367461499	0.733357122478093	0.395983900292381	0.809627957450082	0.491292086271283	0.319660862317748	0.378538326114818	0.27629364108599	0.444556670142932	0.607309373126453	0.425776856946614	0.526545408625796	0.290341203528487	0.398940596154755	0.492834860747143	0.451180280534426	0.527513384819119	0.58013137560152	0.9988	0.995383380168607	0.977741804937273	0.991549295774648	0.914125700062228	0.889962978198272	0.979364758243982	0.95957361222848	0.994779116465863	0.850825351538618	0.996780684104628	0.995782285599518	0.998598598598599	0.949909837707874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
