SampleID	HostGroup	HostSpecies	SampleContext	Infection	Observed_Genera	Chao1_Genus	Shannon_Genus	Simpson_Genus	InvSimpson_Genus	Pielou_Genus	SequencingDepth
SRR5364033	Poultry	Chicken	Experimental	Pos	24	24.6	1.3815011992173	0.610888237691397	2.56995572189078	0.434700377326851	4540
SRR5364035	Poultry	Chicken	Experimental	Pos	21	21	1.37599838202463	0.662638930674309	2.96418315841474	0.45195869308605	4861
SRR5364037	Poultry	Chicken	Experimental	Pos	29	30.5	1.94545245675251	0.790223696376833	4.76698265117853	0.577749195490295	4936
SRR5364039	Poultry	Chicken	Experimental	Neg	30	30.3333333333333	1.18655793979577	0.410569124818269	1.69655177919155	0.34886476927014	4857
SRR5364041	Poultry	Chicken	Experimental	Neg	31	31	1.86123968272071	0.762092253002481	4.20330994942518	0.542005421653794	4930
SRR5364043	Poultry	Chicken	Experimental	Neg	35	35	2.19630487148275	0.84247370692649	6.34814658866723	0.617746795390453	4831
SRR12148748_merged	Poultry	Turkey	Experimental	Neg	35	37	1.48540338859761	0.604485819252364	2.52835435156765	0.417794084547475	4964
SRR12148807_merged	Poultry	Turkey	Experimental	Pos	37	37.8571428571429	1.62372042692659	0.741374591888955	3.86659612179572	0.449669714517979	4188
SRR12148808_merged	Poultry	Turkey	Experimental	Pos	13	16	1.22154508478068	0.668293932886047	3.01471724258955	0.476245303334024	4991
SRR12148809_merged	Poultry	Turkey	Experimental	Pos	39	49	2.29816521295323	0.821264681419626	5.59486512202858	0.627303546367539	4907
SRR12148810_merged	Poultry	Turkey	Experimental	Pos	14	15.5	1.04021096630825	0.60988416	2.56334118604361	0.394160048982302	5000
SRR12148811_merged	Poultry	Turkey	Experimental	Pos	33	36.5	1.34188875893921	0.620821389940508	2.63727956554064	0.383779738882191	3440
SRR12148812_merged	Poultry	Turkey	Experimental	Pos	18	39	1.12745777196402	0.614071425899587	2.59115304517415	0.390073619036697	3571
SRR12148813_merged	Poultry	Turkey	Experimental	Pos	37	38	1.51424893596201	0.583964372064488	2.40364029629454	0.419352910421924	3374
SRR12148814_merged	Poultry	Turkey	Experimental	Pos	36	36.75	1.49673016631975	0.598309283859427	2.48947750052069	0.417670505451434	4882
