SampleID	HostGroup	HostSpecies	SampleContext	Infection	BaselineCoreSize	CoreTaxaPresent	CoreTaxaLost	CoreRetentionProportion	CoreAbundanceRetention	NonCoreTaxaPresent	TotalTaxaPresent	CoreMembershipProportion
SRR5364033	Poultry	Chicken	Experimental	Pos	24	8	16	0.333333333333333	0.695814977973568	6	14	0.571428571428571
SRR5364035	Poultry	Chicken	Experimental	Pos	24	11	13	0.458333333333333	0.580950421723925	4	15	0.733333333333333
SRR5364037	Poultry	Chicken	Experimental	Pos	24	13	11	0.541666666666667	0.931523500810373	7	20	0.65
SRR5364039	Poultry	Chicken	Experimental	Neg	24	22	2	0.916666666666667	0.993617459337039	1	23	0.956521739130435
SRR5364041	Poultry	Chicken	Experimental	Neg	24	19	5	0.791666666666667	0.99290060851927	2	21	0.904761904761905
SRR5364043	Poultry	Chicken	Experimental	Neg	24	24	0	1	0.979093355412958	8	32	0.75
SRR12148748_merged	Poultry	Turkey	Experimental	Neg	32	22	10	0.6875	0.991337630942788	3	25	0.88
SRR12148807_merged	Poultry	Turkey	Experimental	Pos	32	18	14	0.5625	0.990210124164279	3	21	0.857142857142857
SRR12148808_merged	Poultry	Turkey	Experimental	Pos	32	7	25	0.21875	0.981566820276498	1	8	0.875
SRR12148809_merged	Poultry	Turkey	Experimental	Pos	32	26	6	0.8125	0.954554717750153	6	32	0.8125
SRR12148810_merged	Poultry	Turkey	Experimental	Pos	32	5	27	0.15625	0.999	0	5	1
SRR12148811_merged	Poultry	Turkey	Experimental	Pos	32	8	24	0.25	0.990697674418605	3	11	0.727272727272727
SRR12148812_merged	Poultry	Turkey	Experimental	Pos	32	6	26	0.1875	0.988798655838701	5	11	0.545454545454545
SRR12148813_merged	Poultry	Turkey	Experimental	Pos	32	19	13	0.59375	0.975400118553646	6	25	0.76
SRR12148814_merged	Poultry	Turkey	Experimental	Pos	32	22	10	0.6875	0.992421138877509	4	26	0.846153846153846
SRR12148815_merged	Poultry	Turkey	Experimental	Pos	32	18	14	0.5625	0.991338951310861	3	21	0.857142857142857
SRR12148817_merged	Poultry	Turkey	Experimental	Pos	32	5	27	0.15625	0.99731663685152	0	5	1
SRR12148818_merged	Poultry	Turkey	Experimental	Pos	32	5	27	0.15625	0.995869776482021	1	6	0.833333333333333
SRR12148819_merged	Poultry	Turkey	Experimental	Pos	32	25	7	0.78125	0.982582582582583	2	27	0.925925925925926
SRR12148820_merged	Poultry	Turkey	Experimental	Pos	32	14	18	0.4375	0.995929443690638	2	16	0.875
SRR12148821_merged	Poultry	Turkey	Experimental	Pos	32	15	17	0.46875	0.983539094650206	6	21	0.714285714285714
SRR12148822_merged	Poultry	Turkey	Experimental	Pos	32	5	27	0.15625	0.996760259179266	2	7	0.714285714285714
SRR12148823_merged	Poultry	Turkey	Experimental	Pos	32	15	17	0.46875	0.984691677447176	4	19	0.789473684210526
SRR12148824_merged	Poultry	Turkey	Experimental	Pos	32	7	25	0.21875	0.806122448979592	2	9	0.777777777777778
SRR12148825_merged	Poultry	Turkey	Experimental	Pos	32	25	7	0.78125	0.975352901635671	8	33	0.757575757575758
