SampleID,ASF356,Acinetobacter,Acutalibacter,Aeromonas,Agathobaculum,Agrobacterium,Alistipes,Anaerobutyricum,Anaerosporomusa,Anaerostipes,Anaerotruncus,Aquabacterium,Arcanobacterium,Ascidiaceihabitans,Atopobium,Bacillus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Brevundimonas,Brochothrix,Brucella,CAG-56,CHKCI001,CHKCI002,Caecibacterium,Campylobacter,Candidatus_Actinomarina,Candidatus_Arthromitus,Caproiciproducens,Catellicoccus,Caulobacter,Cetobacterium,Chryseobacterium,Clostridioides,Clostridium,Colidextribacter,Corynebacterium,Croceibacterium,Cupriavidus,Cutibacterium,Cyanobium_PCC-6307,DTU089,Dechloromonas,Deinococcus,Delftia,Desulfovibrio,Elizabethkingia,Enterocloster,Enterococcus,Epulopiscium,Escherichia-Shigella,Exiguobacterium,Faecalibacterium,Flavobacterium,Flavonifractor,Fournierella,Fusibacter,Fusobacterium,GCA-900066575,Gemella,Genus_unassigned_0775e59cd173135c46460efc24f0c35a,Genus_unassigned_0c9e3ed50197a5f104e61cd0520fbb29,Genus_unassigned_20003ad708c4341bfb9325715e8a3a6e,Genus_unassigned_282df84e87013a21e2f3d41c9042f9d6,Genus_unassigned_569e41cdb450ced9aaf87abc387fc8f6,Genus_unassigned_5a64a6f1f4e7afd3bbbf171c5c35b46f,Genus_unassigned_6a4f354262a6fbad12de693585b4e7f1,Genus_unassigned_736f2237cf9ec2cfcaa5645263c92bca,Genus_unassigned_7b071d792fea09d90d9773096db4f8c3,Genus_unassigned_8ad1796f811039f7bae012f206c4d408,Genus_unassigned_8e450566af04da60335f56e9098b4eec,Genus_unassigned_8e7f285d81ef2b399b0301d21e6061e5,Genus_unassigned_9ccfad1833dbe06085dda16682bdb9ef,Genus_unassigned_9eb9acee9f8012d509191f395cd33680,Genus_unassigned_AM406458.1.1481,Genus_unassigned_DQ057389.1.1363,Genus_unassigned_DQ456474.1.1446,Genus_unassigned_DQ793870.1.1284,Genus_unassigned_DQ794370.1.1390,Genus_unassigned_EF025267.1.1453,Genus_unassigned_EU132593.1.1277,Genus_unassigned_EU537172.1.1382,Genus_unassigned_FJVJ01000015.3438.4940,Genus_unassigned_FN667181.1.1433,Genus_unassigned_GQ175371.1.1438,Genus_unassigned_GQ175468.1.1444,Genus_unassigned_HQ452859.1.1430,Genus_unassigned_HQ772504.1.1405,Genus_unassigned_JF145649.1.1306,Genus_unassigned_JN594631.1.1392,Genus_unassigned_JQ014317.1.1286,Genus_unassigned_JQ196333.1.1311,Genus_unassigned_KC108996.1.1244,Genus_unassigned_KC294021.1.1310,Genus_unassigned_KF003417.1.1415,Genus_unassigned_KP337928.1.1234,Genus_unassigned_KT026457.1.1220,Genus_unassigned_KX212257.1.1200,Genus_unassigned_KX225280.1.1202,Genus_unassigned_KY658480.1.1210,Genus_unassigned_MF498280.1.1204,Genus_unassigned_MH843493.1.1214,Genus_unassigned_Y18355.1.1409,Genus_unassigned_a3619e4bd3465b6a2aa9638acd081cd2,Genus_unassigned_a9f73cd1c850d7f999159ba5feabd9d6,Genus_unassigned_c51976b33e301cd0c39ff6780038cb3d,Genus_unassigned_ca53da738ef5a0dbe50fe54061231539,Genus_unassigned_cafeeea8a015957c63e8db16e70ed374,Genus_unassigned_cc71afec2b00c234459733299a21d5f5,Genus_unassigned_cf42d6ef5b5f01ff0a0a2bf5b533682e,Genus_unassigned_d27439ff64e05809b9e00cfa519cdcac,Genus_unassigned_e56acb09bca8725f6d206127a3189941,Genus_unassigned_e56b0756bf4106b0b7f14fa46e828c2a,Genus_unassigned_eb04e82f5de40a4c6ab43c4b470e4cba,Genus_unassigned_fc52caa7528d00b1f9ee139319dea276,H1,HT002,Hafnia-Obesumbacterium,Halomonas,Helicobacter,Hydrogenophilus,Incertae_Sedis,Intestinimonas,Klebsiella,Lachnospira,Lachnospiraceae_UCG-010,Lactobacillus,Lawsonella,Ligilactobacillus,Limosilactobacillus,Macrococcus,Mageeibacillus,Malacoplasma,Massiliomicrobiota,Mediterraneibacter,Megamonas,Merdibacter,Methanobrevibacter,Methylobacterium,Microbacterium,Monoglobus,Moraxella,Mycobacterium,Negativibacillus,Neorickettsia,Oceanivirga,Olsenella,Oscillibacter,Paenibacillus,Parabacteroides,Parvimonas,Pediococcus,Pedobacter,Peptoclostridium,Peptococcus,Peptoniphilus,Peribacillus,Phascolarctobacterium,Phyllobacterium,Porphyromonas,Prevotella,Prevotellaceae_Ga6A1_group,Prochlorococcus_MIT9313,Pseudoalteromonas,Pseudochrobactrum,Pseudoflavonifractor,Pseudolabrys,Pseudomonas,Psittacicella,Psychrobacillus,Pygmaiobacter,Ralstonia,Raoultella,Rhodococcus,Romboutsia,Rothia,Rubellimicrobium,Ruthenibacterium,Sarcina,Schaalia,Sedimentibacter,Sellimonas,Seongchinamella,Serratia,Shewanella,Shinella,Shuttleworthia,Sphingobacterium,Sphingomonas,Staphylococcus,Stenotrophomonas,Streptococcus,Sulfurovum,Synechococcus_CC9902,Terrisporobacter,Thomasclavelia,Tissierella,Tumebacillus,Turicibacter,Tyzzerella,UCG-005,UCG-009,Varibaculum,Veillonella,Weissella,[Clostridium]_innocuum_group,[Ruminococcus]_gnavus_group
SRR5364033,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,877,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2648,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,0,0,0,3,0,286,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,369,0,0,0
SRR5364035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2070,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,5,0,0,0,10,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,142,0,0,0
SRR5364037,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,15,6,0,1,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1790,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,52,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,982,0,223,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,16,0,0,0,0,223,0,0,0
SRR5364039,0,0,0,0,5,0,66,0,0,0,0,0,0,0,0,0,46,69,0,32,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,81,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,12,0,0,3,0,0,0,3713,0,75,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,76,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0
SRR5364041,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,49,71,0,7,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,24,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,46,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,12,0,0,0,561,0,136,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,120,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,296,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1833,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SRR5364043,0,0,0,0,5,0,64,0,0,0,0,0,0,0,0,0,74,25,0,7,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,58,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,824,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,21,0,45,9,0,0,0,882,0,774,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,134,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1214,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,150,0,0,0,9,0,0,0,0,9,0,0,4,0,0,0
SRR12148748_merged,3,0,22,0,14,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,13,0,17,0,0,0,8,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,1,0,0,0,2,0,0,68,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2968,1,0,0,0,0,0,25,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,15,2,0,0,0,0,709,0,1
SRR12148807_merged,0,0,5,0,3,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,1330,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,0,59,0,8,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,5,0,0,0,0,3,0,0,6,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,0
SRR12148808_merged,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,9,0,0,0,0,0,0,0,0,11,0,1
SRR12148809_merged,12,0,77,0,37,0,0,22,0,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,23,0,0,0,0,5,0,0,0,0,0,13,29,0,0,0,0,0,1,0,0,0,0,0,32,0,0,732,0,383,0,45,0,0,0,75,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,1637,0,0,0,0,48,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,1,0,0,0,0,0,0,120,0,0,6,0,0,0,3,0,0,75,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,39,0,0,0,0,60,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
