SampleID,label,Influenza,BioProject,HostGroup,HostType,SampleContext,Season,Age,Sex,Feeding,Species,Location,month
SRR5364033,1,Pos,PRJNA379944,Poultry,Chicken,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR5364035,1,Pos,PRJNA379944,Poultry,Chicken,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR5364037,1,Pos,PRJNA379944,Poultry,Chicken,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR5364039,0,Neg,PRJNA379944,Poultry,Chicken,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR5364041,0,Neg,PRJNA379944,Poultry,Chicken,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR5364043,0,Neg,PRJNA379944,Poultry,Chicken,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148748_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148807_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148808_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148809_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148810_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148811_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148812_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148813_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
