FeatureID,prevalence,mean_rel_abundance,max_rel_abundance,total_count,Phylum,Family,Genus
af35970d0e82e7e56bc4c9a97b1aa275,0.7822085889570553,0.26256690806826766,0.9804,426146,Campylobacterota,Campylobacteraceae,Campylobacter
63d393fc0e99dd18542fb1d4b2af0cbf,0.745398773006135,0.038736919195934,0.6836378567029358,62551,Bacteroidota,Flavobacteriaceae,Flavobacterium
cafeeea8a015957c63e8db16e70ed374,0.7300613496932515,0.04219904996249213,0.818,68484,Bacillota,Lachnospiraceae,
c465f577ff4ace3e12a8479197bd7198,0.6134969325153374,0.04452096954228099,0.7284,71931,Bacteroidota,Porphyromonadaceae,Porphyromonas
f8bb29a5251534049b2e1c111bc39f14,0.6042944785276073,0.04261312485623524,0.6655235021182166,69334,Pseudomonadota,Pasteurellaceae,Psittacicella
d27439ff64e05809b9e00cfa519cdcac,0.549079754601227,0.022329831903211837,0.4324,36383,Fusobacteriota,Leptotrichiaceae,
13b2a473a55c51abc0b42dce9ecb578e,0.5429447852760736,0.003019049985770441,0.06991439054219323,4860,Pseudomonadota,Pseudomonadaceae,Pseudomonas
da6b37f3a4a6331d6ee5af6f86f9df0a,0.5429447852760736,0.0035053486558722373,0.10040899795501022,5654,Pseudomonadota,Caulobacteraceae,Brevundimonas
a13d2ac851c652f379103eb69ff1bc14,0.5153374233128835,0.022666985479796987,0.7818,36746,Bacteroidota,Bacteroidaceae,Bacteroides
0daf4b3d162fbc5fc14a1ca8f4d2c33b,0.5122699386503068,0.04503055924354005,0.9426,73382,Fusobacteriota,Fusobacteriaceae,Fusobacterium
9265d5145416b3be7b9362ccc8e3dece,0.48773006134969327,0.017318361407133664,0.5112,28202,Bacillota,Lachnospiraceae,Caecibacterium
bf0a5e99cb2470e070686ca4a5cd102d,0.4723926380368098,0.017994194211112716,0.40849869713369413,29315,Bacillota,Streptococcaceae,Streptococcus
6718eb07f4a1ded94863a63d5e19474e,0.44785276073619634,0.028844777364330203,0.436,46979,Bacillota,Veillonellaceae,Veillonella
b81519f9ff85d250b3ff11b93ec54bc8,0.44785276073619634,0.006202979993820106,0.1762114537444934,10014,Bacillota,Incertae_Sedis,Incertae_Sedis
8ad1796f811039f7bae012f206c4d408,0.43558282208588955,0.012480259480085494,0.45538399839582916,20328,Bacillota,,
e9165b84ab328cc9b6c9240b83c34296,0.4049079754601227,0.009578839687160657,0.16953562850280224,15594,Bacillota,Family_XI,Parvimonas
a6eadb2d1940643ea760afffa030334d,0.401840490797546,0.0016154611322459,0.0482,2613,Pseudomonadota,Lysobacteraceae,Stenotrophomonas
463b2f0461c807f6f6a2ebd7bcff9c7a,0.39263803680981596,0.003270443051334481,0.302,5329,Bacillota,Staphylococcaceae,Staphylococcus
e56b0756bf4106b0b7f14fa46e828c2a,0.39263803680981596,0.021424166902328668,0.5284,34762,Bacillota,Veillonellaceae,
5a64a6f1f4e7afd3bbbf171c5c35b46f,0.39263803680981596,0.017648711181977254,0.9484,28760,Pseudomonadota,Pasteurellaceae,
0c9e3ed50197a5f104e61cd0520fbb29,0.3374233128834356,0.006584380994894068,0.3978774529435322,10691,,,
84b87a5527ad7573a01f9a340b45b8b2,0.3343558282208589,0.001684695815893739,0.0518,2730,Actinomycetota,Actinomycetaceae,Varibaculum
8ef7520d749a002ff44b11ee16c27f1b,0.3220858895705521,0.007069773784386549,0.1726,11499,Bacteroidota,Prevotellaceae,Prevotella
da821e0a5e2bb6359d37fc6ddafd82c1,0.30368098159509205,0.006393559539113117,0.1166,10419,Actinomycetota,Micrococcaceae,Rothia
7333e261c60fccfd1cc66224d4914029,0.3006134969325153,0.0007632092363295185,0.0276,1239,Pseudomonadota,Halomonadaceae,Halomonas
acc07901cb94b7ff01d72de31d9c9e9b,0.294478527607362,0.00632840327310387,0.672,10309,Campylobacterota,Helicobacteraceae,Helicobacter
8e450566af04da60335f56e9098b4eec,0.2883435582822086,0.006463560336477514,0.3088,10534,Bacillota,Mycoplasmataceae,
0775e59cd173135c46460efc24f0c35a,0.2883435582822086,0.00557384699136903,0.4228,9060,Bacillota,Ruminococcaceae,
e616d0c9166d972025919a91afbfac62,0.2852760736196319,0.0018780974845613615,0.2030497592295345,3053,Bacillota,Peptococcaceae,Peptococcus
4966214a7565ba69a46597265edc5fc6,0.2852760736196319,0.0008378403073850852,0.01745021556148635,1356,Bacteroidota,Sphingobacteriaceae,Sphingobacterium
da6858e27b2e7bb754853591e2b46704,0.27300613496932513,0.003108283845725176,0.158,5062,Bacillota,Gemellaceae,Gemella
9eb9acee9f8012d509191f395cd33680,0.24846625766871167,0.003212407330770461,0.1247987117552335,5187,Actinomycetota,,
