Assay.Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center.Name,Consent,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,Experiment,Instrument,Library.Name,LibraryLayout,LibrarySource,Organism,Platform,ReleaseDate,create_date,DPI,Influenza,SRA.Study,HostSpecies,Host.1,SampleID,HostGroup,HostType,SampleContext,Infection,Tissue,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isolation_source,lat_lon,DOI,Collection_Date,HOST,Sample.Name,sample_type,genotype,isolate,strain,.tar_Folder,Body_System,broad.scale_environmental_context,Cultivar,dna_extracted_by,dna_extraction_date,dna_extraction_kit,environmental_medium,experimental_group,True_or_Neg,Expt_.,geographical_location,isolation_and_growth_condition,latitude_and_longitude,local_scale_environmental_context,organism..run.,Sampling.time.point.Days.Post.Infection.,Age_at_infection,Bird_ID,Bird_weight.g.,Bursa.BodyWeight.Ratio1000,Bursa_Weight_g,Date_of_Hatch,Date_of_Infection,Infecting_Agent,Isolator_.,sex,Log10_Virus_titer_.EID50_.mL_or_.g_tissue.,Log2_Fold_Change_in_Expression_of_IFN.a,Log2_Fold_Change_in_Expression_of_IFN.b,Log2_Fold_Change_in_Expression_of_IFN.L,Log2_Fold_Change_in_Expression_of_IFN.y,Log2_Fold_Change_in_Expression_of_IL.6,Log2_Fold_Change_in_Expression_of_LITAF,Log2_Fold_Change_in_Expression_of_Mx,Log2_Fold_Change_in_Expression_of_OAS,Infection_Status,samp_size,source_material_id,Path,collection_date,host,misc_param,Nickname,HASubType,Season,Age,NASubType,HASubType_NASubType,Genus,Species,Location,Season_SeasonYear,Feeding,Sex,Description,CoreGroup
CTS,249,7809200,PRJNA379944,SAMN06624100,"Microbe\, viral or environmental",3570341,SOUTH CHINA AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659478,Illumina HiSeq 2000,GD1123-11,PAIRED,METAGENOMIC,chicken gut metagenome,ILLUMINA,2017-03-21T00:00:00Z,2017-03-21T12:54:00Z,5,Pos,SRP102237,Chicken,NA,SRR5364033,Poultry,Chicken,Experimental,Pos,NA,China,Asia,China:Guangdong,Intestine 11,NA,NA,10/10/2016,Gallus gallus,SH01 5.6_1.fq,metagenomic assembly,not collected,ileum,not collected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Pos
CTS,249,7724910,PRJNA379944,SAMN06624098,"Microbe\, viral or environmental",3626776,SOUTH CHINA AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659480,Illumina HiSeq 2000,GD1123-9,PAIRED,METAGENOMIC,chicken gut metagenome,ILLUMINA,2017-03-21T00:00:00Z,2017-03-21T12:54:00Z,5,Pos,SRP102237,Chicken,NA,SRR5364035,Poultry,Chicken,Experimental,Pos,NA,China,Asia,China:Guangdong,Intestine 9,NA,NA,10/10/2016,Gallus gallus,SH01 5.5_1.fq,metagenomic assembly,not collected,ileum,not collected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Pos
CTS,249,7876070,PRJNA379944,SAMN06624096,"Microbe\, viral or environmental",3693968,SOUTH CHINA AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659482,Illumina HiSeq 2000,GD1123-7,PAIRED,METAGENOMIC,chicken gut metagenome,ILLUMINA,2017-03-21T00:00:00Z,2017-03-21T12:54:00Z,5,Pos,SRP102237,Chicken,NA,SRR5364037,Poultry,Chicken,Experimental,Pos,NA,China,Asia,China:Guangdong,Intestine 7,NA,NA,10/10/2016,Gallus gallus,SH01 5.4_1.fq,metagenomic assembly,not collected,ileum,not collected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Pos
CTS,249,7859740,PRJNA379944,SAMN06624094,"Microbe\, viral or environmental",3268036,SOUTH CHINA AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659484,Illumina HiSeq 2000,GD1123-5,PAIRED,METAGENOMIC,chicken gut metagenome,ILLUMINA,2017-03-21T00:00:00Z,2017-03-21T12:54:00Z,5,Neg,SRP102237,Chicken,NA,SRR5364039,Poultry,Chicken,Experimental,Neg,NA,China,Asia,China:Guangdong,Intestine 5,NA,NA,10/10/2016,Gallus gallus,mock 5.3_1.fq,metagenomic assembly,not collected,ileum,not collected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Neg
CTS,249,7822460,PRJNA379944,SAMN06624092,"Microbe\, viral or environmental",3853852,SOUTH CHINA AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659486,Illumina HiSeq 2000,GD1123-3,PAIRED,METAGENOMIC,chicken gut metagenome,ILLUMINA,2017-03-21T00:00:00Z,2017-03-21T12:54:00Z,5,Neg,SRP102237,Chicken,NA,SRR5364041,Poultry,Chicken,Experimental,Neg,NA,China,Asia,China:Guangdong,Intestine 3,NA,NA,10/10/2016,Gallus gallus,mock 5.2_1.fq,metagenomic assembly,not collected,ileum,not collected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Neg
CTS,249,7842250,PRJNA379944,SAMN06624090,"Microbe\, viral or environmental",3845600,SOUTH CHINA AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659488,Illumina HiSeq 2000,GD1123-1,PAIRED,METAGENOMIC,chicken gut metagenome,ILLUMINA,2017-03-21T00:00:00Z,2017-03-21T12:54:00Z,5,Neg,SRP102237,Chicken,NA,SRR5364043,Poultry,Chicken,Experimental,Neg,NA,China,Asia,China:Guangdong,Intestine 1,NA,NA,10/10/2016,Gallus gallus,mock 5.1_1.fq,metagenomic assembly,not collected,ileum,not collected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Neg
OTHER,602,16800616,PRJNA644054,SAMN15446689,Metagenome or environmental,11590754,THE OHIO STATE UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8668439,Illumina MiSeq,TOSIL101,PAIRED,OTHER,gut metagenome,ILLUMINA,2020-07-06T00:00:00Z,2020-07-06T01:54:00Z,5,Neg,SRP270067,Turkey,NA,SRR12148748_merged,Poultry,Turkey,Experimental,Neg,Ileum,NA,NA,NA,NA,NA,NA,3/10/2018,FAHRP-OSU Specific-pathogen-free turkey,TOSIL101,Ileum,NA,NA,NA,Ileum,Gut,not applicable',not applicable',H. Ji,18-10-30,DNeasy PowerSoil Kit (Qiagen),not applicable',Mock,True Sample,CWL-18-AIV-MET-105,USA: Ohio,not applicable',missing,not applicable',FAHRP-OSU Specific-pathogen-free turkey,5,18,210,3.083448276,3.0834482,0.4471,2018-02-15T00:00:00,18-03-05,Phosphate Buffered Saline,2,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Neg
OTHER,602,31456908,PRJNA644054,SAMN15446727,Metagenome or environmental,20821313,THE OHIO STATE UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8668892,Illumina MiSeq,TOSIL139,PAIRED,OTHER,gut metagenome,ILLUMINA,2020-07-06T00:00:00Z,2020-07-06T01:55:00Z,5,Pos,SRP270067,Turkey,NA,SRR12148807_merged,Poultry,Turkey,Experimental,Pos,Ileum,NA,NA,NA,NA,NA,NA,3/10/2018,FAHRP-OSU Specific-pathogen-free turkey,TOSIL139,Ileum,NA,NA,NA,Ileum,Gut,not applicable',not applicable',H. Ji,18-11-06,DNeasy PowerSoil Kit (Qiagen),not applicable',TKMN,True Sample,CWL-18-AIV-MET-105,USA: Ohio,not applicable',missing,not applicable',FAHRP-OSU Specific-pathogen-free turkey,5,18,280,1.60969697,1.609697,0.2656,2018-02-15T00:00:00,18-03-05,Influenza virus A/TK/MN/10734-2/95 (H5N2),6,male,1.823636111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Pos
OTHER,602,23877126,PRJNA644054,SAMN15446726,Metagenome or environmental,15975601,THE OHIO STATE UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8668891,Illumina MiSeq,TOSIL138,PAIRED,OTHER,gut metagenome,ILLUMINA,2020-07-06T00:00:00Z,2020-07-06T01:55:00Z,5,Pos,SRP270067,Turkey,NA,SRR12148808_merged,Poultry,Turkey,Experimental,Pos,Ileum,NA,NA,NA,NA,NA,NA,3/10/2018,FAHRP-OSU Specific-pathogen-free turkey,TOSIL138,Ileum,NA,NA,NA,Ileum,Gut,not applicable',not applicable',H. Ji,18-11-06,DNeasy PowerSoil Kit (Qiagen),not applicable',TKMN,True Sample,CWL-18-AIV-MET-105,USA: Ohio,not applicable',missing,not applicable',FAHRP-OSU Specific-pathogen-free turkey,5,18,279,3.618421053,3.618421,0.55,2018-02-15T00:00:00,18-03-05,Influenza virus A/TK/MN/10734-2/95 (H5N2),6,male,0.970810556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Pos
OTHER,602,15285382,PRJNA644054,SAMN15446725,Metagenome or environmental,10621438,THE OHIO STATE UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8668890,Illumina MiSeq,TOSIL137,PAIRED,OTHER,gut metagenome,ILLUMINA,2020-07-06T00:00:00Z,2020-07-06T01:55:00Z,5,Pos,SRP270067,Turkey,NA,SRR12148809_merged,Poultry,Turkey,Experimental,Pos,Ileum,NA,NA,NA,NA,NA,NA,3/10/2018,FAHRP-OSU Specific-pathogen-free turkey,TOSIL137,Ileum,NA,NA,NA,Ileum,Gut,not applicable',not applicable',H. Ji,18-11-06,DNeasy PowerSoil Kit (Qiagen),not applicable',TKMN,True Sample,CWL-18-AIV-MET-105,USA: Ohio,not applicable',missing,not applicable',FAHRP-OSU Specific-pathogen-free turkey,5,18,278,1.933125,1.933125,0.3093,2018-02-15T00:00:00,18-03-05,Influenza virus A/TK/MN/10734-2/95 (H5N2),6,female,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poultry_Pos
