SampleID,label,Influenza,BioProject,HostGroup,HostType,Season,Age,Sex,Feeding,Species,Location,month,Romboutsia__FJ382054,Escherichia-Shigella__KT873246,Agathobaculum__EF025214,Colidextribacter__DQ806077,CHKCI002__f13a69ad,Acutalibacter__DQ793705,Clostridium__EU776524,Thomasclavelia__DQ326634,Massiliomicrobiota__DQ799171,Merdibacter__DQ793739,Anaerostipes__DQ794058,Oscillibacter__DQ794427,Anaerobutyricum__FJ367509,Incertae_Sedis__GQ175397,Flavonifractor__EU763235,Incertae_Sedis__fbb2ccdf,Ruminococcaceae__6a4f3542,Sellimonas__KP966092,Lachnospiraceae__EF025267,Sphingobacterium__4966214a,Pedobacter__e5eb02f3,Sphingobacteriaceae__736f2237,Parabacteroides__ef4b9171,Bacteroides__a13d2ac8,Prevotellaceae_Ga6A1_group__408c8c2d,Prevotellaceae__282df84e,Incertae_Sedis__32018bce,Prevotella__8ef7520d,Porphyromonas__c465f577,Bacteroidales__8e7f285d,Flavobacterium__63d393fc,Arcanobacterium__4c9ad755,Micrococcales__9eb9acee,Rothia__da821e0a,Lawsonella__30d3ed51,Varibaculum__84b87a55,Stenotrophomonas__a6eadb2d,Pasteurellaceae__5a64a6f1,Psittacicella__f8bb29a5,Comamonadaceae__c51976b3,Pseudomonas__13b2a473,Halomonas__7333e261,unclassified__0c9e3ed5,Fusibacter__adc4c72e,Brevundimonas__da6b37f3,Methylobacterium__1458f1e7,Bacillota__9ccfad18,Mageeibacillus__816bc635,UCG-005__4ce32c4e,Oscillospiraceae__ca53da73,Ruminococcaceae__0775e59c,Caecibacterium__9265d514,Campylobacter__af35970d,Helicobacter__acc07901,Lachnospiraceae_UCG-010__5bd5c394,Lachnospiraceae__cafeeea8,Incertae_Sedis__03d08b31,Peptoniphilus__172051db,Parvimonas__e9165b84,Peptococcus__e616d0c9,Candidatus_Arthromitus__04c4a458,Streptococcus__bf0a5e99,Gemella__da6858e2,Staphylococcus__463b2f04,Catellicoccus__f52c8cce,Lactobacillales__8ad1796f,Mycoplasmataceae__8e450566,Thomasclavelia__c4abcba6,Incertae_Sedis__b81519f9,Megamonas__97771191,Veillonellaceae__e56b0756,Veillonellales-Selenomonadales__eb04e82f,Veillonella__6718eb07,Phascolarctobacterium__1683506d,Fusobacterium__0daf4b3d,Incertae_Sedis__c3a9c557,Oceanivirga__5702680e,Leptotrichiaceae__d27439ff,Cetobacterium__024cc2ba
SRR5364033,1,Pos,PRJNA379944,Poultry,Chicken,,,,,,,,-0.14928824970143673,8.42560765184309,1.460149662732663,1.460149662732663,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673,-0.14928824970143673
SRR5364035,1,Pos,PRJNA379944,Poultry,Chicken,,,,,,,,-0.10542648839931346,8.223266095146254,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346,-0.10542648839931346
SRR5364037,1,Pos,PRJNA379944,Poultry,Chicken,,,,,,,,5.739499283174066,7.959317309554053,1.7218300886109335,1.3853578519897205,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911,-0.22408006044437911
SRR5364039,0,Neg,PRJNA379944,Poultry,Chicken,,,,,,,,4.142269452837159,4.243621947097446,2.2226766120992187,2.532831540403058,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149,-0.17521866069915149
SRR5364041,0,Neg,PRJNA379944,Poultry,Chicken,,,,,,,,6.227292636030062,3.7339185351429633,-0.15790176296766312,2.039322814368556,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312,-0.15790176296766312
SRR5364043,0,Neg,PRJNA379944,Poultry,Chicken,,,,,,,,7.599461134567185,2.369175563026549,2.2021214783633836,2.5122764066672225,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871,-0.1957737944349871
SRR12148748_merged,0,Neg,PRJNA644054,Poultry,Turkey,,,,,,,,7.804159094808196,3.877373795335277,2.4824956905239954,1.8232500616397314,-0.8848001394624792,2.9218623503078405,2.549187065022667,1.3124244378737409,4.035180786365646,1.948413204593737,4.672027922237058,1.948413204593737,-0.8848001394624792,1.8232500616397314,2.670547922026935,1.3124244378737409,4.3778900494424065,3.047025493261847,6.251683069127768,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792,-0.8848001394624792
SRR12148807_merged,1,Pos,PRJNA644054,Poultry,Turkey,,,,,,,,7.124754186075908,6.793517563508639,1.1819548109492066,1.4332692392301123,0.8454825743279937,1.6339399346922638,7.122501932871582,0.3346569505620032,2.1804836410603334,-0.7639553381061059,2.0692580059501093,0.3346569505620032,0.8454825743279937,1.8009940193554304,2.0692580059501093,1.9440948629961037,2.371538877823043,1.6339399346922638,4.881491559537131,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059,-0.7639553381061059
SRR12148808_merged,1,Pos,PRJNA644054,Poultry,Turkey,,,,,,,,-0.33717853279761734,7.963598428053838,-0.33717853279761734,-0.33717853279761734,0.7614337558704936,1.8600460445386027,7.827047119468211,2.607260446368824,0.7614337558704936,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,2.4960348112585997,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734,-0.33717853279761734
SRR12148809_merged,1,Pos,PRJNA644054,Poultry,Turkey,,,,,,,,6.408972985353897,6.168640136203475,3.196517728288618,2.9565670586580275,2.729177216462366,3.9224547316715546,2.174866480756637,-0.02235809657958221,4.3638265482429635,1.443978972213845,4.032321209250087,2.7708499128629347,2.6856921045226274,3.411629107905564,3.3898891212691575,3.4941501315935675,3.909467536144743,3.2484774672193293,6.97310276282166,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922,-1.1209703852476922
