column,FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,prevalence_primary,mean_rel_abundance
Sphingobacterium__4966214a,4966214a7565ba69a46597265edc5fc6,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,0.3576923076923077,0.0010547725792278805
Pedobacter__e5eb02f3,e5eb02f3feb9b1b80a85843d37566c6a,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,0.16923076923076924,0.0004417951391003164
Sphingobacteriaceae__736f2237,736f2237cf9ec2cfcaa5645263c92bca,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,0.2846153846153846,0.0007726249958717798
Parabacteroides__ef4b9171,ef4b9171648179be3a8fb9699fbb94bd,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,0.13076923076923078,0.0008511929047734766
Bacteroides__a13d2ac8,a13d2ac851c652f379103eb69ff1bc14,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.6461538461538462,0.028590439223588376
Prevotellaceae_Ga6A1_group__408c8c2d,408c8c2da176e400b44ff317ac0876d3,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_Ga6A1_group,0.25769230769230766,0.002913073298966831
Prevotellaceae__282df84e,282df84e87013a21e2f3d41c9042f9d6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,,0.25,0.0027971864461951786
Incertae_Sedis__32018bce,32018bce7db6443bd285f8b95338da67,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Incertae_Sedis,0.16923076923076924,0.001181580966503051
Prevotella__8ef7520d,8ef7520d749a002ff44b11ee16c27f1b,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.40384615384615385,0.00888083072849277
Porphyromonas__c465f577,c465f577ff4ace3e12a8479197bd7198,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,0.7692307692307693,0.055867197690810846
Bacteroidales__8e7f285d,8e7f285d81ef2b399b0301d21e6061e5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,,,0.2423076923076923,0.006665489701626273
H1__5c1b884f,5c1b884fe5810b2c1045bf75572ef12f,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,H1,0.1,0.0002754719676634661
Flavobacterium__63d393fc,63d393fc0e99dd18542fb1d4b2af0cbf,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,0.9346153846153846,0.048735014564437386
Atopobium__81d6cbdb,81d6cbdbc40e34b1d58319f78d4860c3,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,0.10384615384615385,0.0006678097955354204
Arcanobacterium__4c9ad755,4c9ad755e11e8a1a091959f1e73c9d0c,Bacteria,Actinomycetota,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,0.19615384615384615,0.001812044052383816
Micrococcales__9eb9acee,9eb9acee9f8012d509191f395cd33680,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,,,0.31153846153846154,0.004031837531915361
Rothia__da821e0a,da821e0a5e2bb6359d37fc6ddafd82c1,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,0.38076923076923075,0.0080358925455675
Lawsonella__30d3ed51,30d3ed513d2487ebacec1d3806b5ccae,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Lawsonella,0.16538461538461538,0.00030847094049210177
Varibaculum__84b87a55,84b87a5527ad7573a01f9a340b45b8b2,Bacteria,Actinomycetota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,0.41923076923076924,0.0021144797061811915
Schaalia__ed995199,ed995199585e2404bfe5f588a06291fc,Bacteria,Actinomycetota,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,0.12307692307692308,0.0004011809760566215
Stenotrophomonas__a6eadb2d,a6eadb2d1940643ea760afffa030334d,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,0.5038461538461538,0.002034516848926234
Escherichia-Shigella__6e37ae39,6e37ae39569a812f7c984ba534ac91de,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,0.12307692307692308,0.0005980479575483697
Pasteurellaceae__5a64a6f1,5a64a6f1f4e7afd3bbbf171c5c35b46f,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,,0.49230769230769234,0.02215336823722508
Psittacicella__f8bb29a5,f8bb29a5251534049b2e1c111bc39f14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Psittacicella,0.7576923076923077,0.05349969305546748
Comamonadaceae__c51976b3,c51976b33e301cd0c39ff6780038cb3d,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,0.2,0.0003617330244098411
Moraxella__00b629e3,00b629e3b3acc8ca9d9839c41326c6e7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,0.1,0.0011002880512073253
Pseudomonas__13b2a473,13b2a473a55c51abc0b42dce9ecb578e,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.6807692307692308,0.0037979656202255124
Halomonas__7333e261,7333e261c60fccfd1cc66224d4914029,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,0.3769230769230769,0.0009601642075505933
unclassified__0c9e3ed5,0c9e3ed50197a5f104e61cd0520fbb29,Bacteria,,,,,,0.4230769230769231,0.008265208883932914
Fusibacter__adc4c72e,adc4c72e3b695adcbeb1d03eb1f48da5,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,0.23846153846153847,0.005037999985046145
Desulfovibrio__5d53bfb2,5d53bfb2037f7206f04684269c8aef31,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,0.1076923076923077,0.0006268097439810272
Brevundimonas__da6b37f3,da6b37f3a4a6331d6ee5af6f86f9df0a,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,0.6807692307692308,0.0044117205202946755
Methylobacterium__1458f1e7,1458f1e7144a7686e3d054d148cb3855,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylobacterium,0.18461538461538463,0.00036844910990737494
Clostridium__98fcf594,98fcf59486d130abe9a9055704400056,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.1076923076923077,0.00250962073151696
Bacillota__9ccfad18,9ccfad1833dbe06085dda16682bdb9ef,Bacteria,Bacillota,Clostridia,,,,0.2153846153846154,0.0007940827843576542
Mageeibacillus__816bc635,816bc6359bb36d4bd2ac7c129451f617,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Mageeibacillus,0.17307692307692307,0.00047002910566600346
Colidextribacter__d74cd658,d74cd6582859d0be37e097cbfddc31d1,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,0.12307692307692308,0.001084209345638815
UCG-005__4ce32c4e,4ce32c4ee3d941f584c8b7a108fe68db,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,0.16923076923076924,0.001806594834508551
Oscillospiraceae__ca53da73,ca53da738ef5a0dbe50fe54061231539,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,,0.2846153846153846,0.003609485358778885
Faecalibacterium__a50e8f12,a50e8f12c186085277959f55303ef905,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,0.12307692307692308,0.001068043115127321
Incertae_Sedis__efb1124a,efb1124a7b972fc805d2cdd072bb7a09,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Incertae_Sedis,0.11538461538461539,0.0003117632482639093
Ruminococcaceae__0775e59c,0775e59cd173135c46460efc24f0c35a,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,,0.36153846153846153,0.0070470101568102135
Caecibacterium__9265d514,9265d5145416b3be7b9362ccc8e3dece,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Caecibacterium,0.6115384615384616,0.021749453656956855
Campylobacter__af35970d,af35970d0e82e7e56bc4c9a97b1aa275,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,0.9807692307692307,0.3294572336193339
Helicobacter__acc07901,acc07901cb94b7ff01d72de31d9c9e9b,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,0.36923076923076925,0.007936822284359333
Lachnospiraceae_UCG-010__5bd5c394,5bd5c3944af33f3c41fe9dd472376f6a,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_UCG-010,0.17692307692307693,0.0008838852550995861
Lachnospiraceae__cafeeea8,cafeeea8a015957c63e8db16e70ed374,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,,0.9153846153846154,0.0530019772802456
Incertae_Sedis__03d08b31,03d08b31a3d27b70b8d57b623e6fda2f,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Incertae_Sedis,0.17307692307692307,0.0005976751590057283
Peptoniphilus__172051db,172051db4ee13abc3ac82deb1739a056,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Peptoniphilus,0.16153846153846155,0.00038455643269294976
Parvimonas__e9165b84,e9165b84ab328cc9b6c9240b83c34296,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Parvimonas,0.5076923076923077,0.012021141722468986
Peptococcus__e616d0c9,e616d0c9166d972025919a91afbfac62,Bacteria,Bacillota,Clostridia,Peptococcales,Peptococcaceae,Peptococcus,0.3576923076923077,0.0023568169213787978
Candidatus_Arthromitus__04c4a458,04c4a458a5a1e0ab867bff0b2b936680,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Candidatus_Arthromitus,0.2153846153846154,0.00363863620073292
Streptococcus__bf0a5e99,bf0a5e99cb2470e070686ca4a5cd102d,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,0.5923076923076923,0.02262732272404404
Gemella__da6858e2,da6858e27b2e7bb754853591e2b46704,Bacteria,Bacillota,Bacilli,Staphylococcales,Gemellaceae,Gemella,0.3423076923076923,0.0039020082477149447
Staphylococcus__463b2f04,463b2f0461c807f6f6a2ebd7bcff9c7a,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,0.49230769230769234,0.004109699396757046
Catellicoccus__f52c8cce,f52c8cce50655f4bc6b73387b9a7e1a5,Bacteria,Bacillota,Bacilli,Lactobacillales,Catellicoccaceae,Catellicoccus,0.16153846153846155,0.0065311521865304605
Lactobacillales__8ad1796f,8ad1796f811039f7bae012f206c4d408,Bacteria,Bacillota,Bacilli,Lactobacillales,,,0.5461538461538461,0.015682608915230014
Mycoplasmataceae__8e450566,8e450566af04da60335f56e9098b4eec,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Mycoplasmataceae,,0.36153846153846153,0.008115912705580439
Thomasclavelia__c4abcba6,c4abcba67bae771e7b6acab924c3a033,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Thomasclavelia,0.18076923076923077,0.006167775591665245
Incertae_Sedis__b81519f9,b81519f9ff85d250b3ff11b93ec54bc8,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Incertae_Sedis,Incertae_Sedis,0.5615384615384615,0.007784922523565738
Megamonas__97771191,977711915cab8af85bbf09f4af3954f1,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,0.21923076923076923,0.004073377337600923
Veillonellaceae__e56b0756,e56b0756bf4106b0b7f14fa46e828c2a,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,,0.49230769230769234,0.026897431235076055
Veillonellales-Selenomonadales__eb04e82f,eb04e82f5de40a4c6ab43c4b470e4cba,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,,,0.2,0.007201151396339057
Veillonella__6718eb07,6718eb07f4a1ded94863a63d5e19474e,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,0.5615384615384615,0.03623843531302991
Phascolarctobacterium__1683506d,1683506dd97567bf85f5261af480556e,Bacteria,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,0.1423076923076923,0.0006698932207372722
Fusobacterium__0daf4b3d,0daf4b3d162fbc5fc14a1ca8f4d2c33b,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,0.6423076923076924,0.05647872520556365
Incertae_Sedis__c3a9c557,c3a9c5579756dc8a0872e12edba0ef72,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Incertae_Sedis,0.24615384615384617,0.009311906263427285
Oceanivirga__5702680e,5702680e7007498a309e6e376da0f72f,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Oceanivirga,0.16923076923076924,0.002823068297957133
Leptotrichiaceae__d27439ff,d27439ff64e05809b9e00cfa519cdcac,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,,0.6884615384615385,0.02802128380727466
Cetobacterium__024cc2ba,024cc2ba42a565cbc58e93e2c896bb5a,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,0.2846153846153846,0.023019937417850946
