SampleID,label,Influenza,BioProject,HostGroup,HostType,Season,Age,Sex,Feeding,Species,Location,month,Sphingobacterium__4966214a,Pedobacter__e5eb02f3,Sphingobacteriaceae__736f2237,Parabacteroides__ef4b9171,Bacteroides__a13d2ac8,Prevotellaceae_Ga6A1_group__408c8c2d,Prevotellaceae__282df84e,Incertae_Sedis__32018bce,Prevotella__8ef7520d,Porphyromonas__c465f577,Bacteroidales__8e7f285d,H1__5c1b884f,Flavobacterium__63d393fc,Atopobium__81d6cbdb,Arcanobacterium__4c9ad755,Micrococcales__9eb9acee,Rothia__da821e0a,Lawsonella__30d3ed51,Varibaculum__84b87a55,Schaalia__ed995199,Stenotrophomonas__a6eadb2d,Escherichia-Shigella__6e37ae39,Pasteurellaceae__5a64a6f1,Psittacicella__f8bb29a5,Comamonadaceae__c51976b3,Moraxella__00b629e3,Pseudomonas__13b2a473,Halomonas__7333e261,unclassified__0c9e3ed5,Fusibacter__adc4c72e,Desulfovibrio__5d53bfb2,Brevundimonas__da6b37f3,Methylobacterium__1458f1e7,Clostridium__98fcf594,Bacillota__9ccfad18,Mageeibacillus__816bc635,Colidextribacter__d74cd658,UCG-005__4ce32c4e,Oscillospiraceae__ca53da73,Faecalibacterium__a50e8f12,Incertae_Sedis__efb1124a,Ruminococcaceae__0775e59c,Caecibacterium__9265d514,Campylobacter__af35970d,Helicobacter__acc07901,Lachnospiraceae_UCG-010__5bd5c394,Lachnospiraceae__cafeeea8,Incertae_Sedis__03d08b31,Peptoniphilus__172051db,Parvimonas__e9165b84,Peptococcus__e616d0c9,Candidatus_Arthromitus__04c4a458,Streptococcus__bf0a5e99,Gemella__da6858e2,Staphylococcus__463b2f04,Catellicoccus__f52c8cce,Lactobacillales__8ad1796f,Mycoplasmataceae__8e450566,Thomasclavelia__c4abcba6,Incertae_Sedis__b81519f9,Megamonas__97771191,Veillonellaceae__e56b0756,Veillonellales-Selenomonadales__eb04e82f,Veillonella__6718eb07,Phascolarctobacterium__1683506d,Fusobacterium__0daf4b3d,Incertae_Sedis__c3a9c557,Oceanivirga__5702680e,Leptotrichiaceae__d27439ff,Cetobacterium__024cc2ba
SRR7146574,1,Pos,PRJNA464410,Duck,Duck,S,A,M,dabbling,Anasplatyrhynchos,"MandevilleIsland,SanJoaquinCounty",8.0,4,0,4,0,33,0,0,0,4,88,12,0,178,349,11,0,0,0,6,0,0,31,0,0,6,0,26,5,5,0,16,12,0,10,0,7,0,0,29,0,0,229,25,505,0,35,867,0,11,206,14,11,669,0,7,0,880,0,0,24,89,459,0,0,0,14,66,6,36,0
SRR7146575,1,Pos,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,89,868,736,96,0,0,0,81,0,93,0,0,25,0,0,0,0,0,0,0,8,0,0,4,0,0,0,56,9,0,0,41,0,104,32,309,145,49,479,0,309,29,314,483,7,0,53,19,0,26,0,0,0,4,0,262,0,0,0,0,0,52,0,0,0,40,0
SRR7146576,0,Neg,PRJNA464410,Duck,Duck,FW,A,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,3,1,0,0,29,0,0,0,0,32,8,0,18,0,0,4,0,0,0,0,0,0,0,89,0,0,4,4,0,90,0,0,0,0,1,8,3,0,0,0,1,0,22,4544,0,0,27,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,84,2
SRR7146577,0,Neg,PRJNA464410,Duck,Duck,FW,H,F,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,6,0,4,0,0,0,0,0,0,0,0,0,89,0,0,3,0,0,0,0,5,0,0,0,0,0,5,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,57,4782,0,0,11,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR7146578,1,Pos,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"SuisunMarsh/Sunrise,SolanoCounty",7.0,0,0,0,0,0,0,0,0,0,220,263,0,33,0,0,30,0,0,0,0,0,0,26,1419,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2573,404,0,0,0,0,0,0,0,0,0,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0
SRR7146580,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,0,0,0,0,8,3,354,0,0,5,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,2,0,0,0,0,369,0,0,0,0,0,0,0,13,11,1375,0,0,333,0,4,19,0,0,187,20,11,0,1260,0,0,8,0,255,0,535,0,25,17,72,93,0
SRR7146581,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,0,0,0,0,0,83,49,0,0,18,0,0,24,38,0,40,0,0,0,11,3277,0,0,3,0,13,0,0,2,0,0,1,10,0,0,0,0,0,0,18,432,0,0,75,0,0,0,3,0,139,0,0,0,19,17,0,14,0,0,512,128,0,2,0,0,72,0
SRR7146582,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,0,1,0,0,0,0,7,0,0,2,0,2,0,9,0,2,0,0,0,14,862,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,42,2683,1,0,122,0,0,0,0,0,32,6,1,0,0,4,0,9,0,98,156,83,0,10,0,0,850,0
SRR7146583,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,4,0,41,0,7,0,0,9,133,72,0,0,949,0,0,10,408,15,0,27,111,0,161,3,3,0,51,138,0,0,0,113,40,0,0,0,0,0,0,0,0,0,0,91,0,0,13,0,0,0,0,0,382,19,61,6,30,41,0,2,0,103,0,1921,0,0,0,0,18,14
SRR7146584,0,Neg,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,0,1,0,0,0,28,643,6,0,25,0,1,3,18,0,0,1,2,4,0,253,0,2,0,3,42,7,0,2,0,38,0,3,0,0,0,0,0,2,383,1071,0,0,408,0,0,0,1,53,185,4,26,79,25,1,0,51,9,236,182,143,0,203,0,137,640,78
SRR7146585,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,0,0,0,0,0,0,0,238,0,35,0,12,0,94,0,28,0,0,0,3,53,0,0,0,0,30,0,0,0,0,27,0,0,0,0,0,0,0,0,0,42,4,0,988,0,0,750,0,0,210,0,11,25,18,154,0,757,0,1289,0,224,0,0,0,0,8,0
SRR7146587,0,Neg,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,5,0,0,0,3909,8,0,0,37,9,0,0,37,0,0,12,69,3,0,0,3,0,18,0,0,0,10,7,3,0,0,4,15,0,0,0,11,0,42,0,0,0,0,149,0,0,10,0,0,0,1,0,34,0,6,0,43,0,211,0,0,170,0,172,0,0,0,0,0,0
SRR7146588,1,Pos,PRJNA464410,Duck,Duck,FW,U,F,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",12.0,0,0,0,0,112,0,0,0,38,261,152,0,100,0,0,18,111,8,15,2,18,0,21,295,0,0,0,0,91,9,7,0,0,0,6,21,0,7,27,9,0,41,20,781,12,0,1156,0,5,223,16,0,279,26,40,0,46,29,31,55,0,0,221,392,0,21,185,9,75,9
