no,name_en,name_zh,abbr,family,genus,baltimore,genome,enveloped,transmission,zoonotic,reservoir,disease,vaccine
1,Influenza A virus,甲型流感病毒,IAV,Orthomyxoviridae,Alphainfluenzavirus,V,ssRNA(-) 分8节段,有,飞沫/气溶胶/接触,Y,野生水禽（雁形目、鸻形目）,流行性感冒；H5N1/H7N9 等禽源亚型可致重症,有（季节性，需年度更新）
2,Influenza B virus,乙型流感病毒,IBV,Orthomyxoviridae,Betainfluenzavirus,V,ssRNA(-) 分8节段,有,飞沫/气溶胶,N,human（另见海豹）,流行性感冒，儿童负担较重,有（季节性）
3,Influenza D virus,丁型流感病毒,IDV,Orthomyxoviridae,Deltainfluenzavirus,V,ssRNA(-) 分7节段,有,飞沫/接触,Y(spillover),牛、猪,牛呼吸道病；人感染证据有限，主要为血清学阳性,无
4,Influenza C virus,丙型流感病毒,ICV,Orthomyxoviridae,Gammainfluenzavirus,V,ssRNA(-) 分7节段,有,飞沫,Y,猪、犬,轻症上呼吸道感染,无
5,SARS-CoV-2,严重急性呼吸综合征冠状病毒2,SARS-CoV-2,Coronaviridae,Betacoronavirus,IV,ssRNA(+) 不分节,有,气溶胶/飞沫,Y,蝙蝠（中间宿主未定论）,COVID-19,有（多平台）
6,SARS-CoV,严重急性呼吸综合征冠状病毒,SARS-CoV,Coronaviridae,Betacoronavirus,IV,ssRNA(+) 不分节,有,飞沫/接触,Y,菊头蝠；果子狸为中间宿主,SARS；2004年后无自然病例,无获批人用疫苗
7,Middle East respiratory syndrome coronavirus,中东呼吸综合征冠状病毒,MERS-CoV,Coronaviridae,Betacoronavirus,IV,ssRNA(+) 不分节,有,接触骆驼/医院内传播,Y,单峰驼（蝙蝠为源头）,MERS，病死率高,无（候选疫苗在研）
8,Human coronavirus 229E,人冠状病毒229E,HCoV-229E,Coronaviridae,Alphacoronavirus,IV,ssRNA(+) 不分节,有,飞沫/接触,N,human（源自蝙蝠）,普通感冒,无
9,Human coronavirus NL63,人冠状病毒NL63,HCoV-NL63,Coronaviridae,Alphacoronavirus,IV,ssRNA(+) 不分节,有,飞沫/接触,N,human（源自蝙蝠）,普通感冒、儿童哮吼,无
10,Human coronavirus OC43,人冠状病毒OC43,HCoV-OC43,Coronaviridae,Betacoronavirus,IV,ssRNA(+) 不分节,有,飞沫/接触,N,human（源自牛）,普通感冒,无
11,Human coronavirus HKU1,人冠状病毒HKU1,HCoV-HKU1,Coronaviridae,Betacoronavirus,IV,ssRNA(+) 不分节,有,飞沫/接触,N,human,普通感冒、下呼吸道感染,无
12,Respiratory syncytial virus,呼吸道合胞病毒,RSV,Pneumoviridae,Orthopneumovirus,V,ssRNA(-) 不分节,有,飞沫/接触,N,human,婴幼儿细支气管炎、老年人肺炎,有（2023年起用于老年人及孕妇）
13,Human metapneumovirus,人偏肺病毒,hMPV,Pneumoviridae,Metapneumovirus,V,ssRNA(-) 不分节,有,飞沫/接触,N,human（源自禽偏肺病毒）,儿童下呼吸道感染,无
14,Human parainfluenza virus 1,人副流感病毒1型,HPIV-1,Paramyxoviridae,Respirovirus,V,ssRNA(-) 不分节,有,飞沫/接触,N,human,儿童哮吼,无
15,Human parainfluenza virus 2,人副流感病毒2型,HPIV-2,Paramyxoviridae,Orthorubulavirus,V,ssRNA(-) 不分节,有,飞沫/接触,N,human,哮吼、上呼吸道感染,无
16,Human parainfluenza virus 3,人副流感病毒3型,HPIV-3,Paramyxoviridae,Respirovirus,V,ssRNA(-) 不分节,有,飞沫/接触,N,human,婴幼儿细支气管炎、肺炎,无
17,Human parainfluenza virus 4,人副流感病毒4型,HPIV-4,Paramyxoviridae,Orthorubulavirus,V,ssRNA(-) 不分节,有,飞沫/接触,N,human,轻症呼吸道感染,无
18,Rhinovirus A/B/C,鼻病毒A/B/C,HRV,Picornaviridae,Enterovirus,IV,ssRNA(+) 不分节,无,飞沫/接触/污染物,N,human,普通感冒；可诱发哮喘急性发作,无（血清型过多）
19,Human adenovirus (respiratory),人腺病毒（呼吸道型）,HAdV,Adenoviridae,Mastadenovirus,I,dsDNA 线性,无,飞沫/接触/粪口,N,human,咽结膜热、肺炎、角结膜炎,有（美军用 Ad4/Ad7 口服）
20,Measles virus,麻疹病毒,MeV,Paramyxoviridae,Morbillivirus,V,ssRNA(-) 不分节,有,气溶胶（传染性极强）,N,human,麻疹；可致亚急性硬化性全脑炎,有（MMR）
21,Mumps virus,腮腺炎病毒,MuV,Paramyxoviridae,Orthorubulavirus,V,ssRNA(-) 不分节,有,飞沫/唾液,N,human,流行性腮腺炎、睾丸炎、脑膜炎,有（MMR）
22,Rubella virus,风疹病毒,RuV,Matonaviridae,Rubivirus,IV,ssRNA(+) 不分节,有,飞沫/垂直传播,N,human,风疹；孕早期致先天性风疹综合征,有（MMR）
23,Herpes simplex virus 1,单纯疱疹病毒1型,HSV-1 / HHV-1,Orthoherpesviridae,Simplexvirus,I,dsDNA 线性,有,接触唾液/黏膜,N,human,口唇疱疹、疱疹性脑炎,无
24,Herpes simplex virus 2,单纯疱疹病毒2型,HSV-2 / HHV-2,Orthoherpesviridae,Simplexvirus,I,dsDNA 线性,有,性接触/垂直传播,N,human,生殖器疱疹、新生儿疱疹,无
25,Varicella-zoster virus,水痘-带状疱疹病毒,VZV / HHV-3,Orthoherpesviridae,Varicellovirus,I,dsDNA 线性,有,气溶胶/接触疱液,N,human,水痘；复燃致带状疱疹,有（水痘疫苗、带状疱疹疫苗）
26,Epstein-Barr virus,EB病毒,EBV / HHV-4,Orthoherpesviridae,Lymphocryptovirus,I,dsDNA 线性,有,唾液,N,human,传染性单核细胞增多症；鼻咽癌、伯基特淋巴瘤,无
27,Human cytomegalovirus,人巨细胞病毒,HCMV / HHV-5,Orthoherpesviridae,Cytomegalovirus,I,dsDNA 线性,有,唾液/尿/性接触/垂直传播,N,human,先天性感染致耳聋；免疫抑制者重症,无
28,Human herpesvirus 6B,人疱疹病毒6B型,HHV-6B,Orthoherpesviridae,Roseolovirus,I,dsDNA 线性,有,唾液,N,human,幼儿急疹,无
29,Human herpesvirus 7,人疱疹病毒7型,HHV-7,Orthoherpesviridae,Roseolovirus,I,dsDNA 线性,有,唾液,N,human,幼儿急疹（部分病例）,无
