feature,importance_mean,importance_sd,frac_folds_positive,Genus,Family
Veillonella__6718eb07,0.01708061024996509,0.014467468419122583,0.8666666666666667,Veillonella,Veillonellaceae
Cetobacterium__024cc2ba,0.016312130521807938,0.009692469125269903,1.0,Cetobacterium,Fusobacteriaceae
Rothia__da821e0a,0.014691744635293012,0.012373372363788765,0.8666666666666667,Rothia,Micrococcaceae
Staphylococcus__463b2f04,0.014041905227389092,0.01544852480418636,0.8666666666666667,Staphylococcus,Staphylococcaceae
Candidatus_Arthromitus__04c4a458,0.012833833728995015,0.008029039838451902,0.9333333333333333,Candidatus_Arthromitus,Clostridiaceae
Micrococcales__9eb9acee,0.01229852674207512,0.010819838829961334,0.9333333333333333,,
Lawsonella__30d3ed51,0.00798373132244099,0.007791107897617295,0.8666666666666667,Lawsonella,Corynebacteriaceae
Flavobacterium__63d393fc,0.0075624330866266316,0.008281237093118041,0.8,Flavobacterium,Flavobacteriaceae
Varibaculum__84b87a55,0.007456616859842659,0.007943339144586668,0.8,Varibaculum,Actinomycetaceae
Helicobacter__acc07901,0.005902469394404872,0.008164547390799384,0.7333333333333333,Helicobacter,Helicobacteraceae
Peptoniphilus__172051db,0.00569404878275845,0.007317907156758244,0.8,Peptoniphilus,Family_XI
Fusibacter__adc4c72e,0.005669762137504063,0.007375029823341531,0.8,Fusibacter,Fusibacteraceae
Incertae_Sedis__03d08b31,0.005118605408927984,0.007977703288961557,0.6666666666666666,Incertae_Sedis,Anaerovoracaceae
Ruminococcaceae__0775e59c,0.004412116557277841,0.009544215979147844,0.7333333333333333,,Ruminococcaceae
Psittacicella__f8bb29a5,0.003985174323883989,0.009065800708478695,0.6,Psittacicella,Pasteurellaceae
Bacteroides__a13d2ac8,0.00377258762742633,0.005347739453885962,0.6666666666666666,Bacteroides,Bacteroidaceae
Veillonellaceae__e56b0756,0.003655727784760036,0.005479987133036343,0.8666666666666667,,Veillonellaceae
Halomonas__7333e261,0.003555590466880776,0.005663193982945484,0.7333333333333333,Halomonas,Halomonadaceae
Mycoplasmataceae__8e450566,0.003245286971093419,0.007828403529994102,0.6,,Mycoplasmataceae
Prevotella__8ef7520d,0.0029023064748871182,0.007500174620264154,0.6666666666666666,Prevotella,Prevotellaceae
Campylobacter__af35970d,0.002858620769911088,0.004657589198599325,0.6,Campylobacter,Campylobacteraceae
Fusobacterium__0daf4b3d,0.002769783084299209,0.006301568153392879,0.6,Fusobacterium,Fusobacteriaceae
Moraxella__00b629e3,0.0027666759763533885,0.0019847025629364697,0.9333333333333333,Moraxella,Moraxellaceae
Bacillota__9ccfad18,0.002528894940185258,0.005027478472873535,0.5333333333333333,,
H1__5c1b884f,0.0024188311688311593,0.006364148756275775,0.6666666666666666,H1,Paludibacteraceae
Oceanivirga__5702680e,0.0017860633989666202,0.007223025741216795,0.6666666666666666,Oceanivirga,Leptotrichiaceae
Stenotrophomonas__a6eadb2d,0.0016790950984499292,0.00723268510652459,0.4666666666666667,Stenotrophomonas,Lysobacteraceae
Lachnospiraceae_UCG-010__5bd5c394,0.0015423125261834858,0.0029799556536279992,0.6666666666666666,Lachnospiraceae_UCG-010,Lachnospiraceae
Peptococcus__e616d0c9,0.001321672950705205,0.003598863868196974,0.7333333333333333,Peptococcus,Peptococcaceae
Catellicoccus__f52c8cce,0.0009905972164036575,0.003766211617835949,0.6,Catellicoccus,Catellicoccaceae
Parvimonas__e9165b84,0.0009345296280780073,0.006147347888330188,0.3333333333333333,Parvimonas,Family_XI
Methylobacterium__1458f1e7,0.0009240445933994253,0.0033589415475398276,0.6666666666666666,Methylobacterium,Beijerinckiaceae
Gemella__da6858e2,0.0007432155657962013,0.002614148660164486,0.7333333333333333,Gemella,Gemellaceae
Escherichia-Shigella__6e37ae39,0.000741376902667213,0.001993343974546748,0.5333333333333333,Escherichia-Shigella,Enterobacteriaceae
Streptococcus__bf0a5e99,0.0004978005865102562,0.006723147372277975,0.5333333333333333,Streptococcus,Streptococcaceae
Clostridium__98fcf594,0.0003858865149187644,0.004655742608817887,0.6,Clostridium,Clostridiaceae
Parabacteroides__ef4b9171,0.00035991248894474124,0.004105542202889177,0.6666666666666666,Parabacteroides,Tannerellaceae
Pasteurellaceae__5a64a6f1,0.00033428757622305414,0.00456920803519106,0.4,,Pasteurellaceae
unclassified__0c9e3ed5,0.00029483777870873676,0.006579838664031054,0.6,,
Colidextribacter__d74cd658,0.00024922031373643313,0.0038899385441606934,0.4666666666666667,Colidextribacter,Oscillospiraceae
Incertae_Sedis__c3a9c557,4.1195363775962284e-06,0.00589928267113533,0.6666666666666666,Incertae_Sedis,Leptotrichiaceae
Bacteroidales__8e7f285d,-6.193269096495317e-05,0.00305832612192859,0.4666666666666667,,
Prevotellaceae_Ga6A1_group__408c8c2d,-0.00014495182237117803,0.002189269509648928,0.4666666666666667,Prevotellaceae_Ga6A1_group,Prevotellaceae
Prevotellaceae__282df84e,-0.0002661988549085384,0.004051279252647825,0.5333333333333333,,Prevotellaceae
Faecalibacterium__a50e8f12,-0.00033326351068286707,0.001959348426732358,0.5333333333333333,Faecalibacterium,Ruminococcaceae
Megamonas__97771191,-0.0003971977842945644,0.003944478860992471,0.3333333333333333,Megamonas,Selenomonadaceae
UCG-005__4ce32c4e,-0.00041216310571150157,0.0019420957683449324,0.5333333333333333,UCG-005,Oscillospiraceae
Phascolarctobacterium__1683506d,-0.0004628427128427233,0.00217732672979478,0.26666666666666666,Phascolarctobacterium,Acidaminococcaceae
Pedobacter__e5eb02f3,-0.0006753479495415038,0.002472563885535204,0.4,Pedobacter,Sphingobacteriaceae
Pseudomonas__13b2a473,-0.0006941302425173461,0.0053318425194865795,0.5333333333333333,Pseudomonas,Pseudomonadaceae
Brevundimonas__da6b37f3,-0.0006963994786575474,0.005626584879123655,0.4,Brevundimonas,Caulobacteraceae
Lactobacillales__8ad1796f,-0.0007954894567797799,0.004015096632469248,0.4666666666666667,,
Desulfovibrio__5d53bfb2,-0.0008149234278266568,0.0023180671631961025,0.3333333333333333,Desulfovibrio,Desulfovibrionaceae
Thomasclavelia__c4abcba6,-0.0008227552017874647,0.0024188879817248024,0.26666666666666666,Thomasclavelia,Erysipelatoclostridiaceae
Atopobium__81d6cbdb,-0.0008984080435693424,0.003326519653202764,0.4,Atopobium,Atopobiaceae
Caecibacterium__9265d514,-0.0009420821114369506,0.0050276475133859055,0.4666666666666667,Caecibacterium,Lachnospiraceae
Mageeibacillus__816bc635,-0.000957850393334273,0.0026424995525658455,0.4,Mageeibacillus,Oscillospiraceae
Incertae_Sedis__32018bce,-0.0010358422939068161,0.0023619177734761545,0.3333333333333333,Incertae_Sedis,Prevotellaceae
Incertae_Sedis__b81519f9,-0.0010457687473816562,0.004709073040582071,0.4,Incertae_Sedis,Incertae_Sedis
Comamonadaceae__c51976b3,-0.001232323232323236,0.0029384606910713242,0.4,,Comamonadaceae
Lachnospiraceae__cafeeea8,-0.0013991993669413105,0.0024056890145295095,0.3333333333333333,,Lachnospiraceae
Veillonellales-Selenomonadales__eb04e82f,-0.0014578969417679104,0.004613555372294774,0.4,,
Arcanobacterium__4c9ad755,-0.001526765349346,0.003731377966114595,0.26666666666666666,Arcanobacterium,Actinomycetaceae
Sphingobacteriaceae__736f2237,-0.00154930642833869,0.00333335593693006,0.4,,Sphingobacteriaceae
Incertae_Sedis__efb1124a,-0.001556905460131277,0.002236461890869289,0.4,Incertae_Sedis,Ruminococcaceae
Porphyromonas__c465f577,-0.0017094330400782081,0.004872476818462933,0.4666666666666667,Porphyromonas,Porphyromonadaceae
Schaalia__ed995199,-0.0017251664106502794,0.0039374966709048755,0.3333333333333333,Schaalia,Actinomycetaceae
Oscillospiraceae__ca53da73,-0.0017586696457664276,0.003632213586739663,0.4,,Oscillospiraceae
Leptotrichiaceae__d27439ff,-0.0019841618954522253,0.00477438888355352,0.26666666666666666,,Leptotrichiaceae
Sphingobacterium__4966214a,-0.001993890518084076,0.0039973783858921474,0.26666666666666666,Sphingobacterium,Sphingobacteriaceae
