Model,Accuracy,BalancedAcc,ROC_AUC,PR_AUC,Sensitivity,Specificity,Precision,F1,MCC,Accuracy_sd,BalancedAcc_sd,ROC_AUC_sd,PR_AUC_sd,Sensitivity_sd,Specificity_sd,Precision_sd,F1_sd,MCC_sd,Round
ExtraTrees,0.7769230769230769,0.7550763859796118,0.8592563887725178,0.8931399578016044,0.8898064516129033,0.6203463203463203,0.7675184893892556,0.8224829847135032,0.5416991296082895,0.0549565006393661,0.059351640766451,0.0412893617139914,0.0346704358372403,0.0601222723496176,0.1095339328803084,0.0541242087783924,0.0426831774114208,0.1182534432337795,第二轮
SVM-RBF,0.7707692307692308,0.7611484429548945,0.8391481636642928,0.8723506286213353,0.8196129032258064,0.7026839826839827,0.794787701025157,0.8050707354319759,0.530509464032447,0.0568637077785771,0.0577014350275452,0.0595510704169558,0.0572758345508478,0.0750728888758068,0.0924419825427236,0.053443378664196,0.0505030292963833,0.1173384048594207,第一轮
Ensemble(soft-vote),0.7661538461538462,0.7560005585812039,0.8358184611087836,0.8734351645466617,0.8184946236559141,0.6935064935064935,0.789777476353852,0.8020268813059727,0.5212660878735695,0.0513861123687976,0.053528990122174,0.0476483708403601,0.0429483814348002,0.0695199612523304,0.0951929907623293,0.0497725758395812,0.0445838820645393,0.1071273666666089,第二轮
SVM-poly,0.7484615384615385,0.7283789973467393,0.8335997765675185,0.861002498573063,0.8526021505376344,0.6041558441558441,0.7528176661992422,0.7969609845543437,0.4807490864406488,0.062787798912748,0.0675027753418699,0.0522775213534694,0.0544749884556648,0.077352694320308,0.1302533427482846,0.0595329431960767,0.0511570288483467,0.132279536316076,第二轮
GP-RBF,0.7569230769230769,0.7407761485826002,0.8219019689987432,0.865938088891919,0.8409462365591399,0.6406060606060606,0.766421381013521,0.8005237424964065,0.4981964277556332,0.0565811804425829,0.0596787475076003,0.0565405170108725,0.0481756118880903,0.0642991572579287,0.1023923920281233,0.0530025348909116,0.0466608252004309,0.1178405992892519,第二轮
GP-Matern,0.7546153846153847,0.7375855327468231,0.8193481357352325,0.865055182919119,0.8436559139784947,0.6315151515151515,0.7621584898119397,0.7995299496542215,0.4929172528495594,0.053903357892718,0.0568494233877151,0.0559112313429597,0.0477520389666364,0.0616945732807787,0.0976293656539186,0.0495551563566127,0.0441567548324059,0.112574193518733,第二轮
RandomForest,0.7253846153846155,0.7014606898477866,0.8099787739142578,0.8511816742260355,0.8501075268817203,0.5528138528138529,0.7280784020515503,0.7815883695194128,0.4325247477019392,0.0678821638258568,0.0718661572221838,0.0469293920892276,0.03757737556025,0.0884622377231486,0.1365281652486902,0.0598589240762669,0.0569419358310895,0.1437657411784879,第一轮
XGBoost,0.7300000000000001,0.7200075408462504,0.801307917888563,0.8449247303744278,0.7843440860215053,0.6556709956709957,0.7628762737678211,0.770208510545791,0.4493569742576605,0.0513261028745794,0.0537766039589515,0.0483704793339256,0.0437724806370216,0.0842498335597778,0.1109503906847834,0.0553097703885341,0.0477464489628054,0.1055931518096428,第一轮
HistGB,0.7215384615384616,0.7047102360005586,0.7957598100823905,0.8412136801332522,0.809247311827957,0.6001731601731601,0.7394267737204007,0.7711619123944037,0.422815615378778,0.056917879180572,0.0607328203217998,0.0494207867478911,0.0400733618711071,0.0660364477037382,0.1050518182132535,0.0537974679776257,0.0476276264442837,0.1208136691951717,第一轮
kNN-Aitchison,0.7192307692307692,0.6874738165060745,0.795392961876833,0.837611655409431,0.8847311827956988,0.4902164502164502,0.7120067953631678,0.7855713489485739,0.4220667284363529,0.0546753913757435,0.0652075407443556,0.0602940104264701,0.0502617408216115,0.0738466514997071,0.1585132980098078,0.057490784055791,0.0383896790564452,0.1183228581410978,第二轮
ElasticNet-LR,0.71,0.7058086859377184,0.7873327747521295,0.8441857617938922,0.7309247311827957,0.6806926406926405,0.7608163078938941,0.7438255850915767,0.4119766194339641,0.055213857134997,0.0536198087892667,0.0548162180643856,0.0479665495535249,0.0795997231692657,0.072777180876002,0.0466727476813866,0.0551140870538455,0.1083565311933114,第二轮
L1-LR,0.7092307692307692,0.7067040916073175,0.7866560536237955,0.8419287896013955,0.7218064516129032,0.6916017316017316,0.7702741636348388,0.7415742994352541,0.4141802202995455,0.050673472240953,0.0548404965415656,0.0511900796606021,0.0456214549914895,0.074287328399605,0.1129283239789843,0.0648413307119143,0.0468682492525279,0.107666181001718,第一轮
L2-LR,0.6900000000000002,0.6861153470185728,0.7818176232369781,0.84372972021154,0.7098064516129031,0.6624242424242425,0.7464809028850599,0.7247772893213726,0.3734506858627336,0.0481793780105475,0.0469748303752476,0.0477852706571105,0.0409644130226523,0.0849424480803035,0.0877257355416536,0.04471035711009,0.0516352235065204,0.0931526042159506,第一轮
PLS-DA,0.706923076923077,0.6959865940511102,0.7763045664013407,0.8371474571307328,0.7627956989247312,0.6291774891774892,0.7443763621766117,0.7503501793957312,0.399871922639392,0.053616727349555,0.0568737815300156,0.0603189267509779,0.0527897030602914,0.0822609927559948,0.1131435062045462,0.05802333482489,0.0488928402594869,0.1137083806405078,第二轮
LDA-shrinkage,0.6915384615384614,0.6762421449518223,0.7726937578550482,0.8383100311627735,0.7707526881720429,0.5817316017316017,0.7197651746178026,0.7427295054501897,0.3624029197457432,0.048548964689132,0.0490601297158843,0.0529983730361188,0.0483505887803826,0.0726456631655877,0.0852744263610627,0.0418832590169847,0.0447450295336711,0.100899422548104,第二轮
SVM-linear,0.6923076923076924,0.6724150258343807,0.7656591258204162,0.8297235493013327,0.7961720430107526,0.5486580086580087,0.7112778473780098,0.7490674604209745,0.3621226763384591,0.0574245925229773,0.0585676355608719,0.0572338551740669,0.046427891487912,0.0861390773589112,0.1025916943632791,0.047398172616384,0.0520396684321014,0.1201879800561393,第一轮
MLP,0.6161538461538462,0.6022401899176093,0.6491900572545733,0.7457913478851307,0.6900215053763441,0.5144588744588744,0.6708270347191388,0.6762513094611349,0.2048413567085789,0.095265123665391,0.1039041089031864,0.1170357759622761,0.0875251679777207,0.0922067932827237,0.1843321949680378,0.0931162191332619,0.0760546084819531,0.211081713690149,第二轮
Baseline(全猜Pos),0.5807692307692307,0.5,0.5,0.5807692307692307,1.0,0.0,0.5807692307692307,0.7347634440199823,0.0,0.0078509286627666,0.0,0.0,0.0078509286627666,0.0,0.0,0.0078509286627666,0.0062382930073819,0.0,第一轮
