Model,Accuracy,BalancedAcc,ROC_AUC,PR_AUC,Sensitivity,Specificity,Precision,F1,MCC,Accuracy_sd,BalancedAcc_sd,ROC_AUC_sd,PR_AUC_sd,Sensitivity_sd,Specificity_sd,Precision_sd,F1_sd,MCC_sd,Rationale
ExtraTrees,0.7776923076923077,0.7564921100404972,0.857898198575618,0.8910800687318813,0.8870967741935485,0.6258874458874459,0.7688629602571728,0.822473540996917,0.5416656307343133,0.05469793328203034,0.05863229115412585,0.042733911333649434,0.034913544117336937,0.05724901909133019,0.10407947382408268,0.05041905057069276,0.04331509685024113,0.11541562912054608,极端随机树：分裂点随机化，小样本上常优于随机森林
Ensemble(soft-vote),0.7669230769230769,0.7574592933947772,0.8336156961318253,0.8742041178853432,0.8158709677419356,0.6990476190476191,0.7922354569538473,0.8021084635781258,0.5225229913931615,0.048179378010547565,0.050582754716400245,0.05230573028397056,0.043798938142061934,0.06552693818348776,0.09190319178615275,0.04788977976276898,0.041837237388255545,0.09985889632520532,SVM-RBF + 梯度提升 + L1-LR 软投票
SVM-poly,0.74,0.7176299399525204,0.8253035888842339,0.8508821498567575,0.8566451612903226,0.5786147186147186,0.7424343443741563,0.7923777356138098,0.46309138019345064,0.062344481067105106,0.06821404191573496,0.056794812205364587,0.06067901092753465,0.07934721335666615,0.14113832173291668,0.05953689531828687,0.04994543500485145,0.13056237720164932,多项式核：显式建模特征间的低阶交互
GP-RBF,0.7492307692307691,0.7328970814132104,0.8213565144532886,0.8677640245357437,0.8343655913978495,0.6314285714285715,0.7610421394553775,0.7943599288636272,0.4820134244254081,0.05041739000573251,0.05468889385192882,0.061256230766063395,0.050881465944764885,0.059689914414086845,0.10562814917229989,0.05130543365507536,0.04059164262220689,0.10519098623351442,高斯过程：RBF 核的贝叶斯版本，小样本上通常比 SVM 更稳
GP-Matern,0.746153846153846,0.7280053065214357,0.818258064516129,0.8661180347911908,0.8410322580645162,0.614978354978355,0.7532971699729158,0.7934506354124905,0.47496593728355335,0.05495650063936616,0.05745862041806672,0.06034769175321891,0.04961024502515523,0.06406328527911946,0.09627842530196516,0.04885096658155469,0.04512965152873447,0.11556556522193875,Matérn 核：比 RBF 更粗糙，对非光滑决策边界更宽容
kNN-Aitchison,0.7100000000000002,0.6787987711213518,0.7899155145929339,0.8300365915484192,0.869978494623656,0.4876190476190476,0.7056304676342146,0.7763953414665142,0.4019804559971755,0.051458031385614035,0.05781808514782782,0.061296458195138875,0.054940591877831575,0.0817233304522104,0.13387803133440762,0.048855485932480965,0.041366179302604264,0.11405237344147025,kNN：CLR 空间的欧氏距离即 Aitchison 距离
ElasticNet-LR,0.6846153846153845,0.6820890937019971,0.7702731462086302,0.8369220912024267,0.6965591397849462,0.6676190476190476,0.7455956919423766,0.7174253619112269,0.3645181799323875,0.060304127314829425,0.05929916060055067,0.059664819807220236,0.0492190026448483,0.09058887183655892,0.0904766219947317,0.05914430675851646,0.06359049064055322,0.11901922013990894,弹性网：兼顾稀疏性与共线特征的分组效应
PLS-DA,0.7061538461538461,0.6965320485965648,0.7692167295070521,0.8343219983723756,0.7547956989247312,0.6382683982683982,0.7471616012263954,0.7478034220112966,0.3997784913525509,0.057026067605856996,0.05990583489689036,0.06570952348608182,0.055525261011340615,0.08513854643614065,0.11524715565168187,0.06150055189400321,0.052732212377420394,0.11924827821987945,PLS-DA：代谢组/微生物组文献的标准方法，审稿人会问
LDA-shrinkage,0.6823076923076924,0.6679349252897641,0.7658260019550341,0.8379272380178115,0.7560430107526881,0.5798268398268399,0.7140414188910392,0.7331304212068914,0.34352432900361324,0.05664650412850097,0.056210921922504486,0.057690227986140666,0.04718254494534404,0.07685434507733925,0.08078147108774768,0.04556024801937705,0.053054649090500124,0.11615434498749229,Ledoit-Wolf 收缩 LDA：p/n 中等时协方差估计更稳
MLP,0.6053846153846154,0.5965326071777685,0.6293604245217148,0.7167997051181192,0.6546236559139785,0.5384415584415585,0.6698006351188605,0.6451652629829097,0.20180112424000057,0.07155121198752422,0.06740739386782575,0.08602913797015566,0.07273243883817804,0.1842204124557324,0.1924767449317063,0.06633780027037164,0.11208621677716317,0.13387449305547838,浅层神经网络：n=260 下预期不占优，跑一遍以免遗漏
