FeatureID,selection_freq,Family,Genus
da821e0a5e2bb6359d37fc6ddafd82c1,0.995,Micrococcaceae,Rothia
04c4a458a5a1e0ab867bff0b2b936680,0.995,Clostridiaceae,Candidatus_Arthromitus
84b87a5527ad7573a01f9a340b45b8b2,0.985,Actinomycetaceae,Varibaculum
9eb9acee9f8012d509191f395cd33680,0.96,,
03d08b31a3d27b70b8d57b623e6fda2f,0.95,Anaerovoracaceae,Incertae_Sedis
463b2f0461c807f6f6a2ebd7bcff9c7a,0.94,Staphylococcaceae,Staphylococcus
30d3ed513d2487ebacec1d3806b5ccae,0.93,Corynebacteriaceae,Lawsonella
0775e59cd173135c46460efc24f0c35a,0.925,Ruminococcaceae,
f8bb29a5251534049b2e1c111bc39f14,0.925,Pasteurellaceae,Psittacicella
0c9e3ed50197a5f104e61cd0520fbb29,0.915,,
172051db4ee13abc3ac82deb1739a056,0.905,Family_XI,Peptoniphilus
a13d2ac851c652f379103eb69ff1bc14,0.835,Bacteroidaceae,Bacteroides
7333e261c60fccfd1cc66224d4914029,0.705,Halomonadaceae,Halomonas
a6eadb2d1940643ea760afffa030334d,0.6,Lysobacteraceae,Stenotrophomonas
ed995199585e2404bfe5f588a06291fc,0.55,Actinomycetaceae,Schaalia
4c9ad755e11e8a1a091959f1e73c9d0c,0.505,Actinomycetaceae,Arcanobacterium
5c1b884fe5810b2c1045bf75572ef12f,0.5,Paludibacteraceae,H1
8e450566af04da60335f56e9098b4eec,0.36,Mycoplasmataceae,
816bc6359bb36d4bd2ac7c129451f617,0.355,Oscillospiraceae,Mageeibacillus
63d393fc0e99dd18542fb1d4b2af0cbf,0.305,Flavobacteriaceae,Flavobacterium
f52c8cce50655f4bc6b73387b9a7e1a5,0.125,Catellicoccaceae,Catellicoccus
5702680e7007498a309e6e376da0f72f,0.125,Leptotrichiaceae,Oceanivirga
c3a9c5579756dc8a0872e12edba0ef72,0.12,Leptotrichiaceae,Incertae_Sedis
acc07901cb94b7ff01d72de31d9c9e9b,0.115,Helicobacteraceae,Helicobacter
6718eb07f4a1ded94863a63d5e19474e,0.105,Veillonellaceae,Veillonella
81d6cbdbc40e34b1d58319f78d4860c3,0.07,Atopobiaceae,Atopobium
1683506dd97567bf85f5261af480556e,0.065,Acidaminococcaceae,Phascolarctobacterium
6e37ae39569a812f7c984ba534ac91de,0.06,Enterobacteriaceae,Escherichia-Shigella
c465f577ff4ace3e12a8479197bd7198,0.055,Porphyromonadaceae,Porphyromonas
c51976b33e301cd0c39ff6780038cb3d,0.035,Comamonadaceae,
00b629e3b3acc8ca9d9839c41326c6e7,0.035,Moraxellaceae,Moraxella
9265d5145416b3be7b9362ccc8e3dece,0.03,Lachnospiraceae,Caecibacterium
b81519f9ff85d250b3ff11b93ec54bc8,0.025,Incertae_Sedis,Incertae_Sedis
0daf4b3d162fbc5fc14a1ca8f4d2c33b,0.02,Fusobacteriaceae,Fusobacterium
efb1124a7b972fc805d2cdd072bb7a09,0.02,Ruminococcaceae,Incertae_Sedis
9ccfad1833dbe06085dda16682bdb9ef,0.01,,
1458f1e7144a7686e3d054d148cb3855,0.01,Beijerinckiaceae,Methylobacterium
8ef7520d749a002ff44b11ee16c27f1b,0.005,Prevotellaceae,Prevotella
4ce32c4ee3d941f584c8b7a108fe68db,0.005,Oscillospiraceae,UCG-005
e56b0756bf4106b0b7f14fa46e828c2a,0.005,Veillonellaceae,
98fcf59486d130abe9a9055704400056,0.005,Clostridiaceae,Clostridium
af35970d0e82e7e56bc4c9a97b1aa275,0.005,Campylobacteraceae,Campylobacter
da6b37f3a4a6331d6ee5af6f86f9df0a,0.005,Caulobacteraceae,Brevundimonas
