feature,importance_mean,importance_sd,frac_folds_positive,Genus,Family,Phylum
Ruminococcaceae__0775e59c,0.019823516268677555,0.014320100412660424,0.96,,Ruminococcaceae,Bacillota
Veillonella__6718eb07,0.016474412326025235,0.007632890511783873,1.0,Veillonella,Veillonellaceae,Bacillota
Varibaculum__84b87a55,0.013116352464739564,0.010396041254512564,0.92,Varibaculum,Actinomycetaceae,Actinomycetota
Incertae_Sedis__03d08b31,0.011453372434017606,0.008364235495896495,0.92,Incertae_Sedis,Anaerovoracaceae,Bacillota
Stenotrophomonas__a6eadb2d,0.010772862263184847,0.010029475959198142,0.8,Stenotrophomonas,Lysobacteraceae,Pseudomonadota
Rothia__da821e0a,0.00998246985988922,0.007249684741910994,0.92,Rothia,Micrococcaceae,Actinomycetota
Micrococcales__9eb9acee,0.00961078992691896,0.008697092313240467,0.84,,,Actinomycetota
Bacteroides__a13d2ac8,0.0094966810966811,0.01346772513248352,0.76,Bacteroides,Bacteroidaceae,Bacteroidota
Moraxella__00b629e3,0.009320551133454365,0.00809395787266166,0.88,Moraxella,Moraxellaceae,Pseudomonadota
Fusibacter__adc4c72e,0.008445049574081839,0.009197715534324247,0.88,Fusibacter,Fusibacteraceae,Bacillota
Cetobacterium__024cc2ba,0.007983223944514272,0.010298263217138408,0.88,Cetobacterium,Fusobacteriaceae,Fusobacteriota
Psittacicella__f8bb29a5,0.007887213145277665,0.008298524281512606,0.92,Psittacicella,Pasteurellaceae,Pseudomonadota
Peptoniphilus__172051db,0.0071560396592654715,0.009636017460405254,0.84,Peptoniphilus,Family_XI,Bacillota
H1__5c1b884f,0.006764921100404974,0.010582005628380645,0.76,H1,Paludibacteraceae,Bacteroidota
Escherichia-Shigella__6e37ae39,0.006640580924451899,0.00982372842664807,0.76,Escherichia-Shigella,Enterobacteriaceae,Pseudomonadota
Clostridium__98fcf594,0.006062970721035243,0.010205461576712543,0.72,Clostridium,Clostridiaceae,Bacillota
Streptococcus__bf0a5e99,0.005989126285900484,0.004806535310195497,0.88,Streptococcus,Streptococcaceae,Bacillota
Staphylococcus__463b2f04,0.005976856118791613,0.009430783128121385,0.8,Staphylococcus,Staphylococcaceae,Bacillota
Lawsonella__30d3ed51,0.005489456779779367,0.009298530652866902,0.8,Lawsonella,Corynebacteriaceae,Actinomycetota
