a,b,delta,wins,p
ExtraTrees,SVM-RBF,0.022987292277614854,14,0.04085310025203965
ExtraTrees,Ensemble,0.024282502443792767,17,0.011453330516815186
ExtraTrees,SVM-poly,0.032594609691383884,21,0.00028705596923828125
ExtraTrees,GP-RBF,0.036541684122329304,17,0.002697524085939296
ExtraTrees,GP-Matern,0.03964013405948893,18,0.0005564093589782715
SVM-RBF,Ensemble,0.0012952101661779115,15,0.5390058327309047
SVM-RBF,SVM-poly,0.00960731741376903,14,0.2699258622584586
SVM-RBF,GP-RBF,0.013554391844714448,16,0.06932455980029398
SVM-RBF,GP-Matern,0.016652841781874074,18,0.034490871763967416
Ensemble,SVM-poly,0.008312107247591119,15,0.3313349065031326
Ensemble,GP-RBF,0.012259181678536537,16,0.022981808338907568
Ensemble,GP-Matern,0.01535763161569616,19,0.0026915156525745445
SVM-poly,GP-RBF,0.003947074430945418,13,0.9249674009214496
SVM-poly,GP-Matern,0.007045524368105043,13,0.8086374961912779
GP-RBF,GP-Matern,0.0030984499371596243,14,0.04367521639679542
