FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
DQ441256.1.1313,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA
AY169416.1.1303,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,NA
HQ800862.1.1308,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
FJ503238.1.1390,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,NA
FJ382054.1.1201,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,NA
DQ057389.1.1363,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,NA,NA
DQ342328.1.1502,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Candidatus_Arthromitus,NA
HQ741563.1.1403,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
JQ248093.1.1509,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Pygmaiobacter,NA
DQ456472.1.1372,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,NA
GQ175458.1.1439,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus,NA
DQ456474.1.1446,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA
FJ367839.1.1353,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Thomasclavelia,NA
FJ975910.1.1372,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,NA
EU774765.1.1436,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,NA
KX881777.1.1230,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,HT002,NA
KY658480.1.1210,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA
JQ855544.1.1247,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
HQ717226.1.1310,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
Y18355.1.1409,Bacteria,Bacillota,Bacilli,Lactobacillales,NA,NA,NA
EU777245.1.1203,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,NA
EF071237.1.1250,Bacteria,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,NA
AUAN01000035.1.1363,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,NA
GQ175468.1.1444,Bacteria,Cyanobacteriota,Vampirivibrionia,Gastranaerophilales,Gastranaerophilaceae,NA,NA
8b89d3fce643e005ff94eae4ff40b75b,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
EU767216.1.1327,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Incertae_Sedis,Incertae_Sedis,NA
AJ876519.1.1235,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA
KT873246.1.1201,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA
KX212257.1.1200,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
EU766290.1.1374,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,NA
EU775601.1.1268,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,NA
2364810cd370c6c4d7b0afc6662bb4d8,Bacteria,Bacillota,Clostridia,Clostridia_UCG-014,Incertae_Sedis,Incertae_Sedis,NA
EF025214.1.1451,Bacteria,Bacillota,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,NA
AY212778.1.1210,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,NA
AM406458.1.1481,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA
JQ248113.1.1510,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA
DQ806077.1.1402,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,NA
LT635479.2887212.2888725,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA
61ae007cd63dc30c60001aaa869e2ffc,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,NA
DQ794370.1.1390,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
KX225280.1.1202,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
KJ184999.1.1415,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
KC294021.1.1310,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
f13a69ad40cf466ff5bfb0c0609aafc6,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,CHKCI002,NA
MH843493.1.1214,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA
MF765334.1.1250,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA
LC190799.1.1211,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,NA
HQ686141.1.1218,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
LN866619.1.1259,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA
DQ793705.1.1389,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Acutalibacter,NA
ad464b0f4f2cef292428ce4cca18f4dc,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Caproiciproducens,NA
HQ807248.1.1298,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,DTU089,NA
869039e5ec5a8e2a7725853c1a499e6e,Bacteria,Bacillota,Bacilli,RF39,Incertae_Sedis,Incertae_Sedis,NA
